Phylum	Group	Sum
p__Ascomycota	zea_mays_l_DOK_rhizosphere	0.639103064066852
p__Basidiobolomycota	zea_mays_l_DOK_rhizosphere	1.1142061281337e-05
p__Basidiomycota	zea_mays_l_DOK_rhizosphere	0.166271587743733
p__Chytridiomycota	zea_mays_l_DOK_rhizosphere	0.0178649025069638
p__Entomophthoromycota	zea_mays_l_DOK_rhizosphere	3.06406685236769e-05
p__Entorrhizomycota	zea_mays_l_DOK_rhizosphere	0
p__Glomeromycota	zea_mays_l_DOK_rhizosphere	0.0124136490250696
p__Kickxellomycota	zea_mays_l_DOK_rhizosphere	0.00294011142061281
p__Monoblepharomycota	zea_mays_l_DOK_rhizosphere	0
p__Mortierellomycota	zea_mays_l_DOK_rhizosphere	0.119764623955432
p__Mucoromycota	zea_mays_l_DOK_rhizosphere	0.00768523676880223
p__Olpidiomycota	zea_mays_l_DOK_rhizosphere	0.00305849582172702
p__Rozellomycota	zea_mays_l_DOK_rhizosphere	0.000564066852367688
p__Zoopagomycota	zea_mays_l_DOK_rhizosphere	0.000449860724233983
Unassigned	zea_mays_l_DOK_rhizosphere	0.0298272980501393
p__Aphelidiomycota	arabidopsis_thaliana_France_soil	0.000121621621621622
p__Ascomycota	arabidopsis_thaliana_France_soil	0.754945945945946
p__Basidiobolomycota	arabidopsis_thaliana_France_soil	0
p__Basidiomycota	arabidopsis_thaliana_France_soil	0.0965135135135135
p__Chytridiomycota	arabidopsis_thaliana_France_soil	0.0213918918918919
p__Entomophthoromycota	arabidopsis_thaliana_France_soil	0
p__Entorrhizomycota	arabidopsis_thaliana_France_soil	0
p__Glomeromycota	arabidopsis_thaliana_France_soil	0.0107972972972973
p__Kickxellomycota	arabidopsis_thaliana_France_soil	0.000162162162162162
p__Monoblepharomycota	arabidopsis_thaliana_France_soil	2.7027027027027e-05
p__Mortierellomycota	arabidopsis_thaliana_France_soil	0.0224459459459459
p__Mucoromycota	arabidopsis_thaliana_France_soil	0.00213513513513514
p__Olpidiomycota	arabidopsis_thaliana_France_soil	0.0133513513513514
p__Rozellomycota	arabidopsis_thaliana_France_soil	0.0306486486486486
p__Zoopagomycota	arabidopsis_thaliana_France_soil	0
Unassigned	arabidopsis_thaliana_France_soil	0.0474594594594595
p__Aphelidiomycota	arabidopsis_thaliana_Germany_root	0.000216216216216216
p__Ascomycota	arabidopsis_thaliana_Germany_root	0.777
p__Basidiobolomycota	arabidopsis_thaliana_Germany_root	0
p__Basidiomycota	arabidopsis_thaliana_Germany_root	0.0726621621621622
p__Chytridiomycota	arabidopsis_thaliana_Germany_root	0.00774324324324324
p__Entomophthoromycota	arabidopsis_thaliana_Germany_root	0
