ID	Exemplar	Cluster	Cluster_size
ASV_2466	ASV_3392	125	9
ASV_2772	ASV_3392	125	9
ASV_2863	ASV_3392	125	9
ASV_3392	ASV_3392	125	9
ASV_1289	ASV_3675	126	3
ASV_1598	ASV_3675	126	3
ASV_3675	ASV_3675	126	3
ASV_268	ASV_3762	127	7
ASV_1772	ASV_3762	127	7
ASV_2090	ASV_3762	127	7
ASV_2326	ASV_3762	127	7
ASV_2394	ASV_3762	127	7
ASV_3235	ASV_3762	127	7
ASV_3762	ASV_3762	127	7
ASV_219	ASV_3806	128	10
ASV_329	ASV_3806	128	10
ASV_1037	ASV_3806	128	10
ASV_1557	ASV_3806	128	10
ASV_1761	ASV_3806	128	10
ASV_2307	ASV_3806	128	10
ASV_2385	ASV_3806	128	10
ASV_2711	ASV_3806	128	10
ASV_3121	ASV_3806	128	10
ASV_3806	ASV_3806	128	10
ASV_2258	ASV_3835	129	4
ASV_2525	ASV_3835	129	4
ASV_3472	ASV_3835	129	4
ASV_3835	ASV_3835	129	4
ASV_1091	ASV_4231	130	14
ASV_1147	ASV_4231	130	14
ASV_1271	ASV_4231	130	14
ASV_1780	ASV_4231	130	14
ASV_2015	ASV_4231	130	14
ASV_2441	ASV_4231	130	14
ASV_2510	ASV_4231	130	14
ASV_2585	ASV_4231	130	14
ASV_2809	ASV_4231	130	14
ASV_2991	ASV_4231	130	14
ASV_3015	ASV_4231	130	14
ASV_3350	ASV_4231	130	14
ASV_4191	ASV_4231	130	14
ASV_4231	ASV_4231	130	14
ASV_934	ASV_4232	131	5
ASV_1120	ASV_4232	131	5
ASV_1896	ASV_4232	131	5
ASV_2738	ASV_4232	131	5
ASV_4232	ASV_4232	131	5
ASV_1514	ASV_4548	132	6
ASV_2981	ASV_4548	132	6
ASV_3515	ASV_4548	132	6
ASV_4137	ASV_4548	132	6
ASV_4548	ASV_4548	132	6
ASV_4699	ASV_4548	132	6
ASV_252	ASV_4613	133	14
ASV_636	ASV_4613	133	14
ASV_641	ASV_4613	133	14
ASV_680	ASV_4613	133	14
ASV_860	ASV_4613	133	14
ASV_897	ASV_4613	133	14
ASV_1166	ASV_4613	133	14
ASV_1387	ASV_4613	133	14
ASV_1953	ASV_4613	133	14
ASV_2157	ASV_4613	133	14
ASV_2697	ASV_4613	133	14
ASV_2873	ASV_4613	133	14
ASV_3546	ASV_4613	133	14
ASV_4613	ASV_4613	133	14
ASV_990	ASV_4853	134	4
ASV_1405	ASV_4853	134	4
ASV_2645	ASV_4853	134	4
ASV_4853	ASV_4853	134	4
