node1	node2	edge	p
ASV_1	ASV_3	-0.224754055082668	0.00285374025396187
ASV_2	ASV_3	0.61099528902934	0
ASV_1	ASV_4	0.507017364195254	0
ASV_2	ASV_4	-0.267830283302056	0.000139481788118279
ASV_3	ASV_4	-0.418972883985128	1.01443402472323e-11
ASV_1	ASV_5	0.171936141623641	0.0477739643604666
ASV_2	ASV_5	0.181137864979853	0.0312860488655506
ASV_4	ASV_5	0.276610440535117	6.85339225728235e-05
ASV_2	ASV_6	-0.422237984696858	6.3207159564036e-12
ASV_3	ASV_6	-0.418799052635012	1.04233582229135e-11
ASV_4	ASV_6	0.275852204034418	7.30286040018535e-05
ASV_2	ASV_7	-0.418523704867156	1.08025410414812e-11
ASV_3	ASV_7	-0.377251407676869	2.54833149792749e-09
ASV_4	ASV_7	0.307837431243292	4.53614527718923e-06
ASV_6	ASV_7	0.502386355607834	0
ASV_5	ASV_8	0.281800692002625	4.50976575894216e-05
ASV_7	ASV_8	-0.224114730289237	0.00297265516602594
ASV_1	ASV_9	-0.408815865064401	4.23624485622376e-11
ASV_3	ASV_9	0.182390680492733	0.0294493008212184
ASV_4	ASV_9	-0.57325949114164	0
ASV_5	ASV_9	-0.376670362282727	2.72799373074513e-09
ASV_1	ASV_10	-0.17274079546844	0.0461129475107181
ASV_2	ASV_10	0.268533378686993	0.000131666494847373
ASV_4	ASV_10	-0.20655152289176	0.00839037607290047
ASV_5	ASV_10	0.221539894654727	0.00348692102141385
ASV_7	ASV_10	-0.218926446844839	0.004087339689843
ASV_8	ASV_10	0.458180823561036	0
ASV_1	ASV_13	0.23750894271544	0.00124915904387684
ASV_2	ASV_13	-0.643806714130769	0
ASV_3	ASV_13	-0.718272153953715	0
ASV_4	ASV_13	0.431764136843471	1.53048782592163e-12
ASV_6	ASV_13	0.502533693804606	0
ASV_7	ASV_13	0.540864894862775	0
ASV_8	ASV_13	-0.30769263001675	4.5998267545776e-06
ASV_9	ASV_13	-0.32377619169501	9.83599312638538e-07
ASV_10	ASV_13	-0.327760502891601	6.57679852656184e-07
ASV_2	ASV_14	-0.306262219899865	5.26427122894121e-06
ASV_3	ASV_14	-0.360707056756366	1.88497062373621e-08
ASV_4	ASV_14	0.380604422952909	1.6751124948501e-09
ASV_6	ASV_14	0.415326697272714	1.73128152477762e-11
ASV_7	ASV_14	0.346352908488187	9.21792041855398e-08
ASV_9	ASV_14	-0.23906766893512	0.00112317814882239
ASV_13	ASV_14	0.420488899059661	8.12532394782781e-12
ASV_1	ASV_15	-0.300518338039665	8.88616903870427e-06
ASV_3	ASV_15	0.190998278331217	0.0193572408804664
ASV_4	ASV_15	-0.436057514663197	7.83938462243884e-13
ASV_5	ASV_15	-0.385870044161176	8.59941509350706e-10
ASV_9	ASV_15	0.611164856445208	0
ASV_13	ASV_15	-0.250069313923129	0.000526035709870041
ASV_14	ASV_15	-0.185416011808961	0.0254959245953766
ASV_1	ASV_16	-0.195851243538454	0.0150654812676619
ASV_2	ASV_16	0.206105492667358	0.00859084901102523
ASV_3	ASV_16	0.574394529196156	0
ASV_4	ASV_16	-0.242433169019895	0.000892207738672654
ASV_13	ASV_16	-0.356334895974759	3.11208478344466e-08
ASV_15	ASV_16	0.195809391696924	0.0150997902543298
ASV_2	ASV_17	0.351096753134241	5.54104705463506e-08
ASV_3	ASV_17	0.585844454821025	0
ASV_6	ASV_17	-0.238604629015049	0.00115863117711262
ASV_7	ASV_17	-0.199659294998543	0.012300899114496
ASV_13	ASV_17	-0.52569649124356	0
ASV_14	ASV_17	-0.17713386121515	0.0377642711988581
ASV_16	ASV_17	0.421713542261882	6.77947759840064e-12
ASV_2	ASV_18	-0.369086153270332	6.91845617472212e-09
ASV_3	ASV_18	-0.338404992172728	2.18715241938943e-07
ASV_6	ASV_18	0.309764463311381	3.78751125322453e-06
ASV_7	ASV_18	0.200599896725533	0.0116960052754195
ASV_12	ASV_18	-0.263013497112744	0.000203142841658278
ASV_13	ASV_18	0.398324119736045	1.65065127298571e-10
ASV_14	ASV_18	0.243382090337297	0.000836381054216623
ASV_16	ASV_18	-0.172460974002939	0.0466858114575492
