RA	M2
1	0.0832725867049191
2	0.0528708966736724
3	0.0397416957899217
4	0.0311295311025703
5	0.0255846821785435
6	0.0217864220790787
7	0.0186958980472809
8	0.0162678821120699
9	0.0144935911490165
10	0.0128653522355406
11	0.0115344083294562
12	0.0103645810083268
13	0.00933447850465297
14	0.0085015459256923
15	0.00773788847252477
16	0.00700810797947193
17	0.00642531406105129
18	0.00590758803436242
19	0.00545576816153948
20	0.00503744007731899
