RA	M2
1	0.0693632818119272
2	0.0390446243950575
3	0.0265129922730389
4	0.019772273205811
5	0.0154310755325255
6	0.0118409812387039
7	0.00977338349346479
8	0.00807665181902584
9	0.00693590120391852
10	0.00595504728744967
11	0.00514780376530721
12	0.00458893569773133
13	0.00407673828347743
14	0.00365999607278078
15	0.00332365150025304
16	0.0029744524575448
17	0.0026872753366376
18	0.00243341243645934
19	0.00219804547593649
20	0.002015177305696
