Occu	M2
1	0.0999536404897516
2	0.066273692246964
3	0.0545454185287952
4	0.0495815222439435
5	0.0439586912206233
6	0.0405243922975238
7	0.0365671719303899
8	0.0328448392100187
9	0.030437689028143
10	0.0275221395620455
11	0.0229375446653033
12	0.0205945094804747
13	0.0193241487786251
14	0.0180076477984015
15	0.0169213132598336
16	0.0152622861842233
17	0.013941820685424
18	0.012086801220883
19	0.0111256584050374
20	0.0102287158027696
