Group	Number_of_ASVs	Compartment
AKYH767	3	lotus_japonicus_rhizosphere
Alcaligenaceae	2	lotus_japonicus_rhizosphere
Alicyclobacillaceae	1	lotus_japonicus_rhizosphere
B1-7BS	1	lotus_japonicus_rhizosphere
Bacillaceae	30	lotus_japonicus_rhizosphere
Bacteriovoracaceae	5	lotus_japonicus_rhizosphere
Bdellovibrionaceae	2	lotus_japonicus_rhizosphere
Beijerinckiaceae	11	lotus_japonicus_rhizosphere
BIrii41	10	lotus_japonicus_rhizosphere
Bryobacteraceae	5	lotus_japonicus_rhizosphere
Burkholderiaceae	18	lotus_japonicus_rhizosphere
Catenulisporaceae	3	lotus_japonicus_rhizosphere
Caulobacteraceae	24	lotus_japonicus_rhizosphere
Cellulomonadaceae	1	lotus_japonicus_rhizosphere
Cellvibrionaceae	8	lotus_japonicus_rhizosphere
Chitinophagaceae	19	lotus_japonicus_rhizosphere
Chloroflexaceae	1	lotus_japonicus_rhizosphere
Clostridiaceae	3	lotus_japonicus_rhizosphere
Comamonadaceae	112	lotus_japonicus_rhizosphere
Crocinitomicaceae	1	lotus_japonicus_rhizosphere
Cytophagaceae	1	lotus_japonicus_rhizosphere
Deinococcaceae	1	lotus_japonicus_rhizosphere
Devosiaceae	15	lotus_japonicus_rhizosphere
Dongiaceae	6	lotus_japonicus_rhizosphere
Enterobacteriaceae	1	lotus_japonicus_rhizosphere
Entotheonellaceae	1	lotus_japonicus_rhizosphere
env.OPS_17	8	lotus_japonicus_rhizosphere
Fibrobacteraceae	3	lotus_japonicus_rhizosphere
Flavobacteriaceae	31	lotus_japonicus_rhizosphere
Gaiellaceae	14	lotus_japonicus_rhizosphere
Gemmatimonadaceae	32	lotus_japonicus_rhizosphere
Geobacteraceae	1	lotus_japonicus_rhizosphere
Geodermatophilaceae	3	lotus_japonicus_rhizosphere
Glycomycetaceae	1	lotus_japonicus_rhizosphere
Gracilibacteraceae	1	lotus_japonicus_rhizosphere
Haliangiaceae	23	lotus_japonicus_rhizosphere
Herpetosiphonaceae	2	lotus_japonicus_rhizosphere
Hymenobacteraceae	2	lotus_japonicus_rhizosphere
Hyphomicrobiaceae	7	lotus_japonicus_rhizosphere
Hyphomonadaceae	2	lotus_japonicus_rhizosphere
Ilumatobacteraceae	6	lotus_japonicus_rhizosphere
Intrasporangiaceae	10	lotus_japonicus_rhizosphere
KF-JG30-B3	1	lotus_japonicus_rhizosphere
Kineosporiaceae	2	lotus_japonicus_rhizosphere
Latescibacteraceae	1	lotus_japonicus_rhizosphere
Leptospiraceae	3	lotus_japonicus_rhizosphere
Methyloligellaceae	7	lotus_japonicus_rhizosphere
Methylophilaceae	19	lotus_japonicus_rhizosphere
Microbacteriaceae	15	lotus_japonicus_rhizosphere
Micrococcaceae	17	lotus_japonicus_rhizosphere
Micromonosporaceae	14	lotus_japonicus_rhizosphere
Micropepsaceae	6	lotus_japonicus_rhizosphere
Microscillaceae	24	lotus_japonicus_rhizosphere
Moraxellaceae	4	lotus_japonicus_rhizosphere
Mycobacteriaceae	18	lotus_japonicus_rhizosphere
Myxococcaceae	4	lotus_japonicus_rhizosphere
Nakamurellaceae	3	lotus_japonicus_rhizosphere
Nitrosomonadaceae	27	lotus_japonicus_rhizosphere
Nitrospiraceae	14	lotus_japonicus_rhizosphere
Nocardiaceae	1	lotus_japonicus_rhizosphere
Nocardioidaceae	33	lotus_japonicus_rhizosphere
NS9_marine_group	1	lotus_japonicus_rhizosphere
Oligoflexales_fa	1	lotus_japonicus_rhizosphere
Oxalobacteraceae	118	lotus_japonicus_rhizosphere
Paenibacillaceae	14	lotus_japonicus_rhizosphere
Pedosphaeraceae	26	lotus_japonicus_rhizosphere
Peptostreptococcaceae	1	lotus_japonicus_rhizosphere
Phaselicystidaceae	1	lotus_japonicus_rhizosphere
Phycisphaeraceae	4	lotus_japonicus_rhizosphere
Planococcaceae	4	lotus_japonicus_rhizosphere
Polyangiaceae	8	lotus_japonicus_rhizosphere
Propionibacteriaceae	5	lotus_japonicus_rhizosphere
Pseudohongiellaceae	1	lotus_japonicus_rhizosphere
Pseudomonadaceae	20	lotus_japonicus_rhizosphere
Pseudonocardiaceae	15	lotus_japonicus_rhizosphere
Reyranellaceae	4	lotus_japonicus_rhizosphere
Rhizobiaceae	41	lotus_japonicus_rhizosphere
Rhizobiales_Incertae_Sedis	8	lotus_japonicus_rhizosphere
Rhodanobacteraceae	16	lotus_japonicus_rhizosphere
Rhodobacteraceae	1	lotus_japonicus_rhizosphere
Rhodocyclaceae	1	lotus_japonicus_rhizosphere
Roseiflexaceae	60	lotus_japonicus_rhizosphere
Saccharimonadaceae	1	lotus_japonicus_rhizosphere
Salisediminibacteriaceae	1	lotus_japonicus_rhizosphere
Sandaracinaceae	3	lotus_japonicus_rhizosphere
Saprospiraceae	1	lotus_japonicus_rhizosphere
SC-I-84	15	lotus_japonicus_rhizosphere
Solibacteraceae	7	lotus_japonicus_rhizosphere
Solimonadaceae	1	lotus_japonicus_rhizosphere
Solirubrobacteraceae	3	lotus_japonicus_rhizosphere
Sphingomonadaceae	48	lotus_japonicus_rhizosphere
Sporichthyaceae	1	lotus_japonicus_rhizosphere
Steroidobacteraceae	17	lotus_japonicus_rhizosphere
Streptomycetaceae	29	lotus_japonicus_rhizosphere
Streptosporangiaceae	2	lotus_japonicus_rhizosphere
Sutterellaceae	1	lotus_japonicus_rhizosphere
Thermoanaerobaculaceae	1	lotus_japonicus_rhizosphere
Thermomonosporaceae	9	lotus_japonicus_rhizosphere
TRA3-20	5	lotus_japonicus_rhizosphere
Unknown_Family	17	lotus_japonicus_rhizosphere
Xanthobacteraceae	31	lotus_japonicus_rhizosphere
Xanthomonadaceae	41	lotus_japonicus_rhizosphere
NA	140	lotus_japonicus_rhizosphere
