Family	Decrease	Comparison	Color
Micropepsaceae	-1.88298567912992	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Microscillaceae	-5.26566439769149	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Microtrichaceae	-1.8968741936323	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Mitochondria	-3.57977126235804	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Moraxellaceae	-7.28405163050031	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Mycobacteriaceae	-3.41027677661396	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Myxococcaceae	-5.29079671411181	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Nakamurellaceae	-2.37454665075039	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Nannocystaceae	-7.05606650846126	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Nitrosomonadaceae	-0.438289986589467	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Nitrososphaeraceae	-6.09764218899522	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Nitrospiraceae	-4.51135557288785	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Nocardiaceae	-0.196755190227947	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Nocardioidaceae	-0.94128334900239	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
NS9_marine_group	0.367064352305079	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Oligoflexales_fa	-6.87886865692231	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Oxalobacteraceae	0.0720319825138205	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Paenibacillaceae	-5.82133901613113	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Pedosphaeraceae	-2.78629684025142	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Peptostreptococcaceae	-4.32199716293267	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Phaselicystidaceae	-1.52139504413775	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Phycisphaeraceae	-5.79597330781984	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Planococcaceae	1.09246227249945	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Polyangiaceae	-1.49533641990138	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Promicromonosporaceae	-3.79933933258161	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Propionibacteriaceae	-5.63451100999441	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Pseudohongiellaceae	-4.17030464372245	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Pseudomonadaceae	-1.94696092982171	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Pseudonocardiaceae	-2.03161857914972	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Reyranellaceae	-5.52058700074565	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Rhizobiaceae	-4.11443579552063	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Rhizobiales_Incertae_Sedis	-2.23083729169231	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Rhodanobacteraceae	-2.6946879359237	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Rhodobacteraceae	-3.36023953642773	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Rhodocyclaceae	-9.83192265897166	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Roseiflexaceae	0.453445737917932	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Rubrobacteriaceae	-2.47446520238319	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Saccharimonadaceae	-3.25931716558685	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Salisediminibacteriaceae	-5.5637148458366	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Sandaracinaceae	-3.34517868394158	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Saprospiraceae	-6.50203295081664	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
SC-I-84	-0.437332502553645	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Solibacteraceae	-6.88476693386551	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Solimonadaceae	-3.71598725580137	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Solirubrobacteraceae	-2.31187029689229	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Sphingomonadaceae	-1.03686934937292	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Sporichthyaceae	-4.25204577863275	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Staphylococcaceae	-5.97416861901583	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Steroidobacteraceae	-4.95544993986292	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Streptomycetaceae	-2.70201471980026	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Streptosporangiaceae	-3.97803150185592	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Sutterellaceae	-3.94029275747353	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Thermoanaerobaculaceae	-5.95879993659759	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Thermomonosporaceae	-7.0529478521876	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
TRA3-20	-5.53736250700827	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Unknown_Family	-5.62559701857232	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Xanthobacteraceae	-4.13983145069794	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
Xanthomonadaceae	0.279203282284044	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root	Others
67-14	-1.00335474208583	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
