Family	Decrease	Comparison	Color
Catenulisporaceae	-0.881530109057891	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Caulobacteraceae	0.0461610619473234	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Cellulomonadaceae	0.953666427372099	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Cellvibrionaceae	-1.33568669304485	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Chitinophagaceae	0.71353936098631	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Chloroflexaceae	1.52279119198602	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Clostridiaceae	0.387187124822276	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Comamonadaceae	5.6612743659096	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Crocinitomicaceae	-1.59451876328152	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Cytophagaceae	2.10201012127418	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Deinococcaceae	-1.60338191116736	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Devosiaceae	-0.228259583933678	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Dongiaceae	1.7891193705358	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Enterobacteriaceae	0.437791643041237	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Entotheonellaceae	-3.04709193069588	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
env.OPS_17	5.45987473696412	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Erwiniaceae	0.289135639462721	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Fibrobacteraceae	2.220879830791	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Flavobacteriaceae	1.00012546871772	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Frankiaceae	0.247088690419801	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Gaiellaceae	4.48104032357737	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Geminicoccaceae	-0.220694612785735	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Gemmatimonadaceae	-0.733316961688423	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Geobacteraceae	-0.436283258349413	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Geodermatophilaceae	-2.16410222501474	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Glycomycetaceae	-0.988450898627782	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Gracilibacteraceae	-2.26594824486631	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Haliangiaceae	3.17894734675759	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Herpetosiphonaceae	-1.10134865241078	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Hymenobacteraceae	-2.15520792654655	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Hyphomicrobiaceae	0.418395114632574	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Hyphomonadaceae	-1.4770270564749	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Iamiaceae	0.465692304288176	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Ilumatobacteraceae	-0.0124515927026891	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Intrasporangiaceae	-1.03386305657023	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
KF-JG30-B3	-2.596591235664	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Kineosporiaceae	-1.21378654216865	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Latescibacteraceae	0.059420117169573	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Leptospiraceae	-2.49353675132956	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Methyloligellaceae	0.437877855477055	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Methylophilaceae	0.162153511767976	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Microbacteriaceae	1.66509836767226	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Micrococcaceae	1.4982561518331	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Micromonosporaceae	1.14610332487909	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Micropepsaceae	-1.60995039315673	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Microscillaceae	2.00471547067776	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Microtrichaceae	1.20652070165293	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Mitochondria	2.61867893477716	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Moraxellaceae	-2.06948091640314	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Mycobacteriaceae	0.199959265117748	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Myxococcaceae	1.95178016235671	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Nakamurellaceae	-2.20802141562945	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Nannocystaceae	0.364689517131872	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Nitrosomonadaceae	2.66088323501329	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Nitrososphaeraceae	-0.136627930163023	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Nitrospiraceae	-0.782104235619485	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Nocardiaceae	2.03315807995198	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Nocardioidaceae	3.22853032446446	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
NS9_marine_group	-1.2395404147752	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Oligoflexales_fa	1.65549025705717	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Oxalobacteraceae	3.52350451503097	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Paenibacillaceae	0.926446757961074	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Pedosphaeraceae	1.46496255495266	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Peptostreptococcaceae	-0.674911121014809	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Phaselicystidaceae	1.86289389954361	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Phycisphaeraceae	2.71311749794349	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Planococcaceae	2.30926532249529	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Polyangiaceae	-2.06928500347764	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Promicromonosporaceae	2.4750527594383	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Propionibacteriaceae	0.616620622680848	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Pseudohongiellaceae	-0.173667443735674	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Pseudomonadaceae	-1.05415610518158	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Pseudonocardiaceae	1.53082869613722	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Reyranellaceae	-2.27017889879806	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Rhizobiaceae	2.60991575432374	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Rhizobiales_Incertae_Sedis	3.82984907675675	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Rhodanobacteraceae	0.265373562752977	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Rhodobacteraceae	2.28349432940216	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Rhodocyclaceae	0.315662457598506	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Roseiflexaceae	3.61341229722665	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Rubrobacteriaceae	-2.23945544170454	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Saccharimonadaceae	2.96525445275778	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Salisediminibacteriaceae	4.95200341927849	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Sandaracinaceae	-0.139990771426099	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Saprospiraceae	0.709247740302132	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
SC-I-84	4.28711918429736	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Solibacteraceae	1.5395385130877	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Solimonadaceae	0.448139434000744	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Solirubrobacteraceae	-1.06262488152805	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Sphingomonadaceae	4.2583490394389	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Sporichthyaceae	0.456398993276785	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Staphylococcaceae	1.58895845940058	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Steroidobacteraceae	0.325905018285667	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Streptomycetaceae	3.00467216886842	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Streptosporangiaceae	1.16802244705985	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Sutterellaceae	-1.60246435359514	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Thermoanaerobaculaceae	-2.48517632564324	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Thermomonosporaceae	-0.122377111664505	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
TRA3-20	-0.36070258473174	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Unknown_Family	0.118903965711574	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Xanthobacteraceae	1.4261896166769	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
Xanthomonadaceae	4.99994033554268	arabidopsis_thaliana_root_vs_lotus_japonicus_root	Others
67-14	7.85717722808434	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
A21b	6.58319778675228	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
A4b	8.00925977721275	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Acidobacteriaceae_(Subgroup_1)	1.3061480887315	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Acidobacteriae_fa	2.12589871249793	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Acidothermaceae	1.1049140728915	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
AKYH767	6.25373321546868	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Alcaligenaceae	6.38151986342418	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Alicyclobacillaceae	-1.10367313456102	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
B1-7BS	5.52269482325861	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Bacillaceae	6.60620739720856	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Bacteriovoracaceae	3.56816384367887	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Bdellovibrionaceae	3.89261972242168	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Beijerinckiaceae	7.68223563416217	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
BIrii41	4.06139361776597	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Bryobacteraceae	9.64585405446609	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Burkholderiaceae	4.5976298875884	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Catenulisporaceae	0.304615612582516	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Caulobacteraceae	3.21443771680516	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Cellulomonadaceae	-0.537350395782454	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Cellvibrionaceae	8.0268095438075	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Chitinophagaceae	0.434392166278165	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Chloroflexaceae	2.66244885870083	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Clostridiaceae	10.3871692366003	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Comamonadaceae	8.71052644892772	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Crocinitomicaceae	4.6732866555205	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Cytophagaceae	1.44643673479672	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Deinococcaceae	8.0539705905317	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Devosiaceae	3.00238807053461	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Dongiaceae	4.33661315921616	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Enterobacteriaceae	3.79258500686817	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Entotheonellaceae	5.56004223837865	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
env.OPS_17	1.10858810168155	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Erwiniaceae	2.80635823761976	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Fibrobacteraceae	9.78575565173764	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Flavobacteriaceae	8.35222757589505	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Frankiaceae	7.81119185671779	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Gaiellaceae	3.53553334283356	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Geminicoccaceae	6.38129585069192	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Gemmatimonadaceae	7.53970013277787	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Geobacteraceae	8.00735601099336	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Geodermatophilaceae	8.56410265764877	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Glycomycetaceae	4.71839168423436	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Gracilibacteraceae	4.70366900059935	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Haliangiaceae	0.985825706926072	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Herpetosiphonaceae	1.68875743153775	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Hymenobacteraceae	4.38950197340369	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Hyphomicrobiaceae	-4.31853572594958	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Hyphomonadaceae	3.43447493518354	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Iamiaceae	4.53635383975438	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Ilumatobacteraceae	5.08819244010795	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Intrasporangiaceae	4.23498716164813	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
KF-JG30-B3	0.926497086532564	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Kineosporiaceae	6.66024148048535	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Latescibacteraceae	1.8578562442156	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Leptospiraceae	1.45801143939045	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Methyloligellaceae	6.6135000969241	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Methylophilaceae	8.76465363518294	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Microbacteriaceae	1.57536060639656	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Micrococcaceae	1.74615401442654	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Micromonosporaceae	8.63228265372454	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Micropepsaceae	7.05416448318861	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Microscillaceae	6.39525030713688	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Microtrichaceae	-1.56696305805117	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Mitochondria	2.4223900560559	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Moraxellaceae	-1.22323628802318	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Mycobacteriaceae	7.69829418068899	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Myxococcaceae	5.39250794081494	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Nakamurellaceae	6.76415845460222	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Nannocystaceae	3.09359836175233	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Nitrosomonadaceae	5.10792028090462	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Nitrososphaeraceae	7.91124139408205	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Nitrospiraceae	7.10773921157156	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Nocardiaceae	2.56536766278236	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Nocardioidaceae	3.18930390368303	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
NS9_marine_group	5.48390637170269	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Oligoflexales_fa	3.24334275095845	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Oxalobacteraceae	13.7844254306678	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Paenibacillaceae	2.8260537697015	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Pedosphaeraceae	5.2099544764602	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Peptostreptococcaceae	1.8915721105444	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Phaselicystidaceae	0.179032481916359	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Phycisphaeraceae	2.54517190085548	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Planococcaceae	3.34059503330167	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Polyangiaceae	8.38793478060292	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Promicromonosporaceae	6.92404654334285	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Propionibacteriaceae	4.42885585206766	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Pseudohongiellaceae	2.73488598957248	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Pseudomonadaceae	7.07128818993053	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Pseudonocardiaceae	5.70457764152847	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Reyranellaceae	-0.53920403409716	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Rhizobiaceae	6.77621665710249	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Rhizobiales_Incertae_Sedis	7.81005274554283	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Rhodanobacteraceae	3.65964471165506	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Rhodobacteraceae	4.84095352395374	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Rhodocyclaceae	5.5703056934917	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Roseiflexaceae	6.21567655451845	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Rubrobacteriaceae	3.48214487436079	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Saccharimonadaceae	3.03918982069528	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Salisediminibacteriaceae	4.49917016937225	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Sandaracinaceae	-1.39213645019289	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Saprospiraceae	2.73305936725067	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
SC-I-84	2.83611939752509	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Solibacteraceae	11.2201199713761	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Solimonadaceae	2.01769566747002	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Solirubrobacteraceae	3.59420799701844	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Sphingomonadaceae	6.63273697756166	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Sporichthyaceae	5.99916002029502	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Staphylococcaceae	4.35159865518941	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Steroidobacteraceae	7.41763258186018	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Streptomycetaceae	1.25955495830895	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Streptosporangiaceae	0.597136154174876	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Sutterellaceae	7.08086969528608	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Thermoanaerobaculaceae	3.3448797141176	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Thermomonosporaceae	0.854336190761337	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
TRA3-20	5.30952979361145	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Unknown_Family	8.41167612886835	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Xanthobacteraceae	6.50603001339125	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
Xanthomonadaceae	3.30878670384517	arabidopsis_thaliana_root_vs_lotus_japonicus_rhizosphere	Others
67-14	1.73793208774026	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
A21b	3.98476217031481	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
A4b	4.2548847861214	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Acidobacteriaceae_(Subgroup_1)	2.0999521216645	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Acidobacteriae_fa	3.15095019397211	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Acidothermaceae	-0.838037441781097	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
AKYH767	-1.30067765872684	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Alcaligenaceae	0.930726411870879	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Alicyclobacillaceae	2.41445782490702	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
B1-7BS	3.38713494158512	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Bacillaceae	-4.16765410209771	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Bacteriovoracaceae	3.52723377713353	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Bdellovibrionaceae	2.68952334984634	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Beijerinckiaceae	5.06997723992159	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
BIrii41	4.47945443818799	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Bryobacteraceae	2.44644553492603	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Burkholderiaceae	3.62363974438374	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Catenulisporaceae	5.88560170059848	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Caulobacteraceae	7.44074118342832	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Cellulomonadaceae	1.0509035102661	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Cellvibrionaceae	3.76910903607339	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Chitinophagaceae	5.20674364677215	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Chloroflexaceae	2.23350770475588	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Clostridiaceae	1.1425050596397	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Comamonadaceae	16.0273026635859	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Crocinitomicaceae	2.94017064368298	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Cytophagaceae	1.64511643041921	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Deinococcaceae	4.49674365058346	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Devosiaceae	2.98439829292356	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Dongiaceae	1.58781451540673	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Enterobacteriaceae	4.97401436843233	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Entotheonellaceae	0.971257145818655	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
env.OPS_17	4.4935042148246	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Erwiniaceae	3.39608687632214	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Fibrobacteraceae	5.01631247145269	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Flavobacteriaceae	7.81910911162353	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Frankiaceae	0.625339525115663	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Gaiellaceae	4.13235354743217	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Geminicoccaceae	2.37478866020084	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Gemmatimonadaceae	1.67482094426073	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Geobacteraceae	1.82995545281959	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
Geodermatophilaceae	1.25514570222411	arabidopsis_thaliana_root_vs_chlamydomonas_reinhardtii_phycosphere	Others
