Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T	Decrease	Decrease_ratio	Comparison	Color	Sig
Rhizobiaceae	46.6572941410141	0.171219523712352	7.48580573841687e-156	6.88694127934352e-154	6.52769742772971e-170	6.00548163351133e-168	53.0060611252293	0.531851059836662	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Micromonosporaceae	49.9265140524254	0.128501705845747	2.49462216812726e-198	2.46967594644599e-196	1.78330784066643e-235	1.7476416838531e-233	49.736841213818	0.499048432404766	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Methyloligellaceae	46.1934175644772	0.176172631926889	2.91760628036473e-151	2.6550217151319e-149	1.7719356962262e-160	1.59474212660358e-158	53.4699377017662	0.536505494511249	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Solirubrobacteraceae	46.4541196053142	0.186097399323058	2.84900923642908e-142	2.50712812805759e-140	7.31541976503786e-153	6.43756939323332e-151	53.2092356609292	0.53388966806089	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Planococcaceae	47.6404974561176	0.183380525869324	1.0508284228744e-144	9.35237296358216e-143	1.02228796799134e-156	9.09836291512293e-155	52.0228578101258	0.521985815861312	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Ilumatobacteraceae	43.2089508735781	0.251924662836173	1.04790369068403e-89	8.27843915640384e-88	5.67176553533957e-89	4.48069477291826e-87	56.4544043926653	0.566450971290817	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Beijerinckiaceae	45.4202271544438	0.193977344209822	2.47475406861074e-135	2.15303603969134e-133	1.54955983581945e-141	1.34811705716292e-139	54.2431281117996	0.544263515580958	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rhizobiales_Incertae_Sedis	45.2731381184646	0.207715178569923	1.17533830273497e-123	9.99037557324725e-122	2.40543002086485e-129	2.04461551773512e-127	54.3902171477788	0.545739374341545	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Saccharimonadaceae	43.7929742884307	0.22565986633185	3.2931717098836e-109	2.70040080210455e-107	5.30793262602295e-108	4.35250475333882e-106	55.8703809778127	0.560591009890837	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Phycisphaeraceae	46.8395421240885	0.178572452488444	4.61648377397575e-149	4.15483539657817e-147	7.16101075564895e-163	6.51651978764054e-161	52.8238131421549	0.530022423999673	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Unknown_Family	44.0177968972939	0.237530798821508	3.75029730280721e-100	3.03774081527384e-98	2.85567070151304e-102	2.31309326822556e-100	55.6455583689495	0.558335189702338	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
A21b	42.203399832117	0.264623643038918	5.62066352404823e-81	4.15929100779569e-79	7.50995068195611e-76	5.48226399782796e-74	57.4599554341264	0.576540447395397	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Iamiaceae	43.9441322889462	0.221340863901673	1.32935762517414e-112	1.11666040514628e-110	2.53573536729153e-112	2.10466035485197e-110	55.7192229772972	0.559074324042647	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rhodanobacteraceae	44.6809660900958	0.225614332139888	3.03464549488303e-109	2.51875576075291e-107	3.13062488602848e-113	2.62972490426392e-111	54.9823891761476	0.551681097122068	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Propionibacteriaceae	41.2051351423697	0.287270157733814	1.53223117199324e-66	1.10320644383513e-64	1.23182579485256e-60	8.62278056396792e-59	58.4582201238737	0.586556813863098	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Promicromonosporaceae	43.1263883972391	0.263915333386175	1.88320834012252e-81	1.41240625509189e-79	7.7401148107807e-82	5.88248725619333e-80	56.5369668690043	0.567279384864878	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Streptomycetaceae	45.5774348183565	0.200782176230815	1.7545733613317e-129	1.50893309074526e-127	5.78731796331123e-137	4.97709344844766e-135	54.0859204478869	0.542686128752141	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
67-14	42.024924059126	0.28996932344623	6.44364654734511e-65	4.44611611766813e-63	2.99480635457752e-60	2.03646832111271e-58	57.6384312071174	0.578331233713139	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Pseudomonadaceae	41.4134809458328	0.289716355713108	4.54801569641484e-65	3.18361098749039e-63	2.26901763837697e-60	1.56562217048011e-58	58.2498743204106	0.584466318285194	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Nakamurellaceae	40.9923949895989	0.301948188835353	5.84908881650243e-58	3.74341684256156e-56	2.52121180343936e-53	1.63878767223558e-51	58.6709602766445	0.588691401367226	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Polyangiaceae	42.6941833700918	0.257736174891772	1.17993891612131e-85	9.20352354574622e-84	1.88880743813633e-83	1.47326980174634e-81	56.9691718961516	0.571616034238087	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Peptostreptococcaceae	43.264564109821	0.247513748796295	7.61081504240798e-93	6.08865203392638e-91	1.59433522541529e-92	1.27546818033223e-90	56.3987911564224	0.565892960414158	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Geodermatophilaceae	41.0947077719661	0.300699371459506	1.14985572833436e-58	7.70403337984021e-57	2.34448686320309e-53	1.54736132971404e-51	58.5686474942773	0.587664817603375	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Salisediminibacteriaceae	39.9669054309801	0.337067699224738	6.76566593785618e-40	3.58580294706378e-38	2.63019439445487e-35	1.36770108511653e-33	59.6964498352633	0.598980936130322	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Steroidobacteraceae	42.7277280976331	0.259624157406642	2.33086544140983e-84	1.79476638988557e-82	1.65262198347562e-82	1.27251892727623e-80	56.9356271686103	0.571279453882632	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Dongiaceae	40.7840921709267	0.302291381726623	9.12972028298664e-58	5.75172377828158e-56	1.80658315403195e-52	1.13814738704013e-50	58.8792630953167	0.590781465645272	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Nocardiaceae	42.2912152491669	0.262258394734224	1.44030276467246e-82	1.09463010115107e-80	3.12933873887616e-78	2.31571066676836e-76	57.3721400170765	0.57565932697942	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Hyphomicrobiaceae	41.7535195486942	0.287823313843575	3.30962421506107e-66	2.34983319269336e-64	7.90112059784909e-64	5.60979562447285e-62	57.9098357175492	0.581054446369453	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Geobacteraceae	36.7910381755278	0.412703364976786	8.63937767471944e-13	1.72787553494389e-11	7.04152308825854e-09	1.26747415588654e-07	62.8723170907156	0.630846883719264	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Nitrososphaeraceae	40.5587435638581	0.312131826545085	2.30897382107365e-52	1.40847403085493e-50	1.10326455517534e-47	6.72991378656957e-46	59.1046117023853	0.593042563583091	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Crocinitomicaceae	40.9932782471543	0.301703653360002	4.25699987288713e-58	2.76704991737663e-56	1.40426985921078e-52	8.98732709894899e-51	58.6700770190891	0.588682538956834	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Microbacteriaceae	40.4112370654824	0.314152195506956	2.74708156095988e-51	1.64824893657593e-49	5.51116364729577e-45	3.30669818837746e-43	59.252118200761	0.594522611068765	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rubrobacteriaceae	39.7034789636441	0.332218307780782	3.49358440905337e-42	1.92147142497935e-40	2.32494761834262e-36	1.25547171390501e-34	59.9598763025993	0.601624098871856	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cellvibrionaceae	37.3128934648156	0.395515050736895	1.53437689633161e-17	4.60313068899483e-16	1.12535963133379e-12	2.81339907833447e-11	62.3504618014278	0.625610703501433	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Deinococcaceae	40.1797609101234	0.330813493636175	7.38495760095722e-43	4.13557625653604e-41	2.50284800239784e-39	1.40159488134279e-37	59.48359435612	0.596845191466953	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Latescibacteraceae	41.15285059815	0.30072972758748	1.19637630089581e-58	7.89608358591235e-57	3.42214053803694e-54	2.29283416048475e-52	58.5105046680934	0.587081425382347	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Intrasporangiaceae	39.7575406369302	0.333432552899769	1.32480484211194e-41	7.15394614740448e-40	3.19196584768582e-36	1.69174189927348e-34	59.9058146293132	0.601081656033747	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Bdellovibrionaceae	36.7999160039665	0.418084831886077	1.79662573203316e-11	3.23392631765969e-10	2.51854073159516e-08	4.02966517055226e-07	62.8634392622769	0.630757805557938	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Geminicoccaceae	35.9416379999925	0.43449147583062	5.9818227649728e-08	7.17818731796736e-07	8.86243213093328e-05	0.000797618891783995	63.7217172662509	0.639369576671616	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Myxococcaceae	43.0418656141542	0.266675211354541	1.30997284538024e-79	9.56280177127575e-78	1.59372996950643e-78	1.19529747712982e-76	56.6214896520892	0.568127467722003	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Catenulisporaceae	36.3266779648732	0.429862166314479	7.21668222672398e-09	1.01033551174136e-07	5.50140809520388e-06	7.025693012279e-05	63.3366773013702	0.635506171071312	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
B1-7BS	41.0429768182139	0.308287560227401	1.9286689811278e-54	1.19577476829924e-52	2.62011621909318e-51	1.62447205583777e-49	58.6203784480295	0.588183874518668	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Phaselicystidaceae	39.2327507644597	0.349888103939382	3.60722062471677e-34	1.76753810611122e-32	9.59085440718715e-30	4.60361011544983e-28	60.4306045017837	0.606347281208301	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rhodobacteraceae	38.0358242615491	0.373167881192861	5.9234852558308e-25	2.60633351256555e-23	4.82572799169511e-19	1.93029119667804e-17	61.6275310046943	0.618356976243283	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Solimonadaceae	40.4909489117875	0.321525361701697	1.84439247513379e-47	1.05130371082626e-45	6.84051260885137e-44	3.96749731313379e-42	59.1724063544559	0.593722800084155	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Erwiniaceae	39.4591135734992	0.350143601349836	4.640818189153e-34	2.22759273079344e-32	7.46494591736265e-30	3.6578234995077e-28	60.2042416927442	0.604076006992871	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Rhodocyclaceae	40.1910447976193	0.319872639178631	2.63856949888859e-48	1.53037030935538e-46	3.99463191583674e-43	2.27694019202694e-41	59.4723104686241	0.596731971442745	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Mitochondria	38.0589628802263	0.384684658856147	5.86256856381943e-21	2.22777605425138e-19	1.26222913824485e-17	4.79647072533043e-16	61.6043923860171	0.618124808475948	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Alcaligenaceae	38.1672606754103	0.373471442472608	7.63260558380323e-25	3.28202040103539e-23	2.12545313292137e-19	8.92690315826975e-18	61.4960945908331	0.617038172421055	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Clostridiaceae	40.4686552842093	0.316831967026499	7.03950596188111e-50	4.15330851750986e-48	1.10882662959144e-44	6.5420771145895e-43	59.1946999820341	0.593946489398232	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Sandaracinaceae	37.8021516405374	0.389468278689492	2.08083054636154e-19	7.28290691226539e-18	1.21523826201439e-15	4.25333391705036e-14	61.861203625706	0.620701595490622	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
