Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T	Decrease	Decrease_ratio	Comparison	Color	Sig
Cluster_117	35.7447196590524	0.449407296601294	2.16961272140231e-05	0.00229978948468645	0.00117414696222065	0.120937137108727	63.918635607191	0.641345411625336	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_108	35.3006144118905	0.458686153052224	0.000420758167125489	0.0433380912139254	0.0205842773620074	1	64.3627408543529	0.645801465166535	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_131	38.2230772906066	0.371327119321507	1.25725272968737e-25	1.38297800265611e-23	1.57629066956234e-20	1.73391973651857e-18	61.4402779756368	0.616478120885089	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_17	34.5581101839604	0.47868662525866	0.042495505737108	1	0.389707710565193	1	65.105245082283	0.653251587891649	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_119	34.4909335051672	0.49708581171443	0.406906772748925	1	0.458908354356989	1	65.1724217610762	0.653925623785922	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_2	34.5458574110023	0.481281230974718	0.0651714196971299	1	0.403499366836658	1	65.1174978552411	0.653374529497672	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_22	34.2724834199555	0.487844900423468	0.16297345798548	1	0.66559372496561	1	65.3908718462879	0.656117503485619	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_4	34.3855372055411	0.493764345378532	0.307154430761992	1	0.555421804168696	1	65.2778180607023	0.654983146877981	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_41	35.3216044690773	0.458778907887703	0.00043225456060023	0.0440899651812235	0.0181156138035508	1	64.3417507971661	0.645590855588614	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_70	34.1688944288394	0.490085351313156	0.211493710056189	1	0.753579953053549	1	65.494460837404	0.657156892444975	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_6	34.6450148446488	0.475127369253627	0.0222116957767946	1	0.31075338442332	1	65.0183404215946	0.652379605802984	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_34	36.0465219695835	0.429755919866568	6.86378092373532e-09	7.34424558839679e-07	2.28481319293986e-05	0.00244475011644565	63.6168332966599	0.638317194185487	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_5	34.042606896339	0.497822791043593	0.430166437614486	1	0.834036449733745	1	65.6207483699044	0.658424033533723	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_15	33.4501770389943	0.51361135049354	0.864333269163552	1	0.991440005724295	1	66.2131782272491	0.664368343313	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_44	33.4416388411374	0.514281714986314	0.875785214608773	1	0.992416657449477	1	66.221716425106	0.664454013696403	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_132	35.8041715552717	0.458385964675586	0.000385467021889177	0.0400885702764744	0.00103914010393578	0.108070570809321	63.8591837109717	0.640748884485943	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_31	34.3524182478783	0.496698771082753	0.394816290892311	1	0.584567862714657	1	65.3109370183651	0.655315455152916	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_29	33.1822754489022	0.527126573248494	0.985818379391136	1	0.998527392239329	1	66.4810798173412	0.667056408443623	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_49	32.1640534050564	0.554060891019814	0.999993756691585	1	0.999999957164443	1	67.499301861187	0.677273022575525	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_123	33.4673134457233	0.518694315477746	0.934577120890975	1	0.987630503646702	1	66.1960418205201	0.664196400408979	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_120	33.3488676847869	0.521851352787114	0.96129453106951	1	0.995438818021924	1	66.3144875814565	0.66538485890127	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_93	33.5950946195306	0.519717148345338	0.944468682662706	1	0.972494907865003	1	66.0682606467128	0.662914272454667	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_53	34.1621301246246	0.499639099367412	0.488366071411556	1	0.746026945850046	1	65.5012251416188	0.657224763973047	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_16	35.4587142443081	0.463466399982461	0.00157630964183839	0.157630964183839	0.0100140583397694	0.981377717297401	64.2046410219353	0.644215126516835	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_47	30.5718242633479	0.602817048676051	1	1	1	1	69.0915310028955	0.693249096604489	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_88	32.9174251570165	0.540764063741123	0.999506725313499	1	0.999760463022711	1	66.7459301092269	0.669713857524865	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
