Group	Number_of_ASVs	Compartment
63	8	arabidopsis_thaliana_root
64	18	arabidopsis_thaliana_root
65	1	arabidopsis_thaliana_root
66	6	arabidopsis_thaliana_root
67	28	arabidopsis_thaliana_root
69	3	arabidopsis_thaliana_root
7	6	arabidopsis_thaliana_root
70	9	arabidopsis_thaliana_root
71	6	arabidopsis_thaliana_root
72	2	arabidopsis_thaliana_root
73	23	arabidopsis_thaliana_root
74	5	arabidopsis_thaliana_root
75	15	arabidopsis_thaliana_root
76	6	arabidopsis_thaliana_root
77	5	arabidopsis_thaliana_root
78	7	arabidopsis_thaliana_root
79	3	arabidopsis_thaliana_root
8	2	arabidopsis_thaliana_root
80	2	arabidopsis_thaliana_root
81	2	arabidopsis_thaliana_root
82	17	arabidopsis_thaliana_root
83	12	arabidopsis_thaliana_root
84	4	arabidopsis_thaliana_root
85	21	arabidopsis_thaliana_root
86	4	arabidopsis_thaliana_root
87	4	arabidopsis_thaliana_root
88	4	arabidopsis_thaliana_root
89	1	arabidopsis_thaliana_root
9	22	arabidopsis_thaliana_root
90	5	arabidopsis_thaliana_root
91	7	arabidopsis_thaliana_root
92	2	arabidopsis_thaliana_root
93	2	arabidopsis_thaliana_root
94	1	arabidopsis_thaliana_root
95	10	arabidopsis_thaliana_root
96	7	arabidopsis_thaliana_root
97	7	arabidopsis_thaliana_root
98	1	arabidopsis_thaliana_root
99	2	arabidopsis_thaliana_root
1	13	arabidopsis_thaliana_rhizosphere
10	16	arabidopsis_thaliana_rhizosphere
100	4	arabidopsis_thaliana_rhizosphere
101	39	arabidopsis_thaliana_rhizosphere
102	3	arabidopsis_thaliana_rhizosphere
103	4	arabidopsis_thaliana_rhizosphere
104	7	arabidopsis_thaliana_rhizosphere
105	7	arabidopsis_thaliana_rhizosphere
106	2	arabidopsis_thaliana_rhizosphere
107	5	arabidopsis_thaliana_rhizosphere
108	6	arabidopsis_thaliana_rhizosphere
109	3	arabidopsis_thaliana_rhizosphere
11	24	arabidopsis_thaliana_rhizosphere
110	12	arabidopsis_thaliana_rhizosphere
111	2	arabidopsis_thaliana_rhizosphere
112	5	arabidopsis_thaliana_rhizosphere
113	11	arabidopsis_thaliana_rhizosphere
114	4	arabidopsis_thaliana_rhizosphere
115	13	arabidopsis_thaliana_rhizosphere
116	8	arabidopsis_thaliana_rhizosphere
117	18	arabidopsis_thaliana_rhizosphere
118	6	arabidopsis_thaliana_rhizosphere
119	11	arabidopsis_thaliana_rhizosphere
12	17	arabidopsis_thaliana_rhizosphere
120	1	arabidopsis_thaliana_rhizosphere
121	25	arabidopsis_thaliana_rhizosphere
122	6	arabidopsis_thaliana_rhizosphere
123	3	arabidopsis_thaliana_rhizosphere
124	8	arabidopsis_thaliana_rhizosphere
125	7	arabidopsis_thaliana_rhizosphere
126	1	arabidopsis_thaliana_rhizosphere
127	5	arabidopsis_thaliana_rhizosphere
128	7	arabidopsis_thaliana_rhizosphere
129	4	arabidopsis_thaliana_rhizosphere
13	9	arabidopsis_thaliana_rhizosphere
130	12	arabidopsis_thaliana_rhizosphere
131	5	arabidopsis_thaliana_rhizosphere
132	4	arabidopsis_thaliana_rhizosphere
133	14	arabidopsis_thaliana_rhizosphere
134	4	arabidopsis_thaliana_rhizosphere
14	17	arabidopsis_thaliana_rhizosphere
15	21	arabidopsis_thaliana_rhizosphere
16	16	arabidopsis_thaliana_rhizosphere
17	10	arabidopsis_thaliana_rhizosphere
18	25	arabidopsis_thaliana_rhizosphere
19	16	arabidopsis_thaliana_rhizosphere
2	15	arabidopsis_thaliana_rhizosphere
20	52	arabidopsis_thaliana_rhizosphere
21	19	arabidopsis_thaliana_rhizosphere
22	32	arabidopsis_thaliana_rhizosphere
23	15	arabidopsis_thaliana_rhizosphere
24	35	arabidopsis_thaliana_rhizosphere
25	53	arabidopsis_thaliana_rhizosphere
26	46	arabidopsis_thaliana_rhizosphere
27	2	arabidopsis_thaliana_rhizosphere
28	10	arabidopsis_thaliana_rhizosphere
29	20	arabidopsis_thaliana_rhizosphere
3	7	arabidopsis_thaliana_rhizosphere
30	34	arabidopsis_thaliana_rhizosphere
31	15	arabidopsis_thaliana_rhizosphere
32	9	arabidopsis_thaliana_rhizosphere
33	3	arabidopsis_thaliana_rhizosphere
34	3	arabidopsis_thaliana_rhizosphere
35	21	arabidopsis_thaliana_rhizosphere
36	28	arabidopsis_thaliana_rhizosphere
37	2	arabidopsis_thaliana_rhizosphere
38	5	arabidopsis_thaliana_rhizosphere
39	21	arabidopsis_thaliana_rhizosphere
4	11	arabidopsis_thaliana_rhizosphere
40	10	arabidopsis_thaliana_rhizosphere
41	18	arabidopsis_thaliana_rhizosphere
42	5	arabidopsis_thaliana_rhizosphere
43	3	arabidopsis_thaliana_rhizosphere
44	5	arabidopsis_thaliana_rhizosphere
45	6	arabidopsis_thaliana_rhizosphere
46	15	arabidopsis_thaliana_rhizosphere
47	16	arabidopsis_thaliana_rhizosphere
48	15	arabidopsis_thaliana_rhizosphere
49	11	arabidopsis_thaliana_rhizosphere
5	13	arabidopsis_thaliana_rhizosphere
50	8	arabidopsis_thaliana_rhizosphere
51	37	arabidopsis_thaliana_rhizosphere
52	4	arabidopsis_thaliana_rhizosphere
53	8	arabidopsis_thaliana_rhizosphere
54	5	arabidopsis_thaliana_rhizosphere
55	1	arabidopsis_thaliana_rhizosphere
56	49	arabidopsis_thaliana_rhizosphere
57	7	arabidopsis_thaliana_rhizosphere
58	14	arabidopsis_thaliana_rhizosphere
59	14	arabidopsis_thaliana_rhizosphere
6	27	arabidopsis_thaliana_rhizosphere
60	20	arabidopsis_thaliana_rhizosphere
61	25	arabidopsis_thaliana_rhizosphere
62	12	arabidopsis_thaliana_rhizosphere
63	6	arabidopsis_thaliana_rhizosphere
64	25	arabidopsis_thaliana_rhizosphere
66	6	arabidopsis_thaliana_rhizosphere
67	35	arabidopsis_thaliana_rhizosphere
69	3	arabidopsis_thaliana_rhizosphere
7	6	arabidopsis_thaliana_rhizosphere
70	9	arabidopsis_thaliana_rhizosphere
71	2	arabidopsis_thaliana_rhizosphere
72	3	arabidopsis_thaliana_rhizosphere
73	24	arabidopsis_thaliana_rhizosphere
75	15	arabidopsis_thaliana_rhizosphere
76	6	arabidopsis_thaliana_rhizosphere
77	4	arabidopsis_thaliana_rhizosphere
78	5	arabidopsis_thaliana_rhizosphere
79	5	arabidopsis_thaliana_rhizosphere
8	5	arabidopsis_thaliana_rhizosphere
80	2	arabidopsis_thaliana_rhizosphere
81	2	arabidopsis_thaliana_rhizosphere
82	16	arabidopsis_thaliana_rhizosphere
83	12	arabidopsis_thaliana_rhizosphere
84	3	arabidopsis_thaliana_rhizosphere
85	32	arabidopsis_thaliana_rhizosphere
86	4	arabidopsis_thaliana_rhizosphere
87	4	arabidopsis_thaliana_rhizosphere
88	8	arabidopsis_thaliana_rhizosphere
89	1	arabidopsis_thaliana_rhizosphere
9	22	arabidopsis_thaliana_rhizosphere
90	6	arabidopsis_thaliana_rhizosphere
91	8	arabidopsis_thaliana_rhizosphere
93	1	arabidopsis_thaliana_rhizosphere
94	3	arabidopsis_thaliana_rhizosphere
95	10	arabidopsis_thaliana_rhizosphere
96	7	arabidopsis_thaliana_rhizosphere
97	2	arabidopsis_thaliana_rhizosphere
98	2	arabidopsis_thaliana_rhizosphere
99	2	arabidopsis_thaliana_rhizosphere
1	5	chlamydomonas_reinhardtii_phycosphere
10	9	chlamydomonas_reinhardtii_phycosphere
101	19	chlamydomonas_reinhardtii_phycosphere
102	1	chlamydomonas_reinhardtii_phycosphere
104	1	chlamydomonas_reinhardtii_phycosphere
105	1	chlamydomonas_reinhardtii_phycosphere
108	4	chlamydomonas_reinhardtii_phycosphere
11	7	chlamydomonas_reinhardtii_phycosphere
110	10	chlamydomonas_reinhardtii_phycosphere
111	4	chlamydomonas_reinhardtii_phycosphere
113	7	chlamydomonas_reinhardtii_phycosphere
115	10	chlamydomonas_reinhardtii_phycosphere
116	2	chlamydomonas_reinhardtii_phycosphere
117	13	chlamydomonas_reinhardtii_phycosphere
118	1	chlamydomonas_reinhardtii_phycosphere
119	8	chlamydomonas_reinhardtii_phycosphere
12	6	chlamydomonas_reinhardtii_phycosphere
120	1	chlamydomonas_reinhardtii_phycosphere
121	21	chlamydomonas_reinhardtii_phycosphere
122	1	chlamydomonas_reinhardtii_phycosphere
123	2	chlamydomonas_reinhardtii_phycosphere
125	9	chlamydomonas_reinhardtii_phycosphere
127	1	chlamydomonas_reinhardtii_phycosphere
128	6	chlamydomonas_reinhardtii_phycosphere
13	2	chlamydomonas_reinhardtii_phycosphere
130	10	chlamydomonas_reinhardtii_phycosphere
131	2	chlamydomonas_reinhardtii_phycosphere
133	8	chlamydomonas_reinhardtii_phycosphere
14	6	chlamydomonas_reinhardtii_phycosphere
15	21	chlamydomonas_reinhardtii_phycosphere
16	8	chlamydomonas_reinhardtii_phycosphere
17	2	chlamydomonas_reinhardtii_phycosphere
18	4	chlamydomonas_reinhardtii_phycosphere
19	9	chlamydomonas_reinhardtii_phycosphere
2	6	chlamydomonas_reinhardtii_phycosphere
20	44	chlamydomonas_reinhardtii_phycosphere
21	17	chlamydomonas_reinhardtii_phycosphere
22	5	chlamydomonas_reinhardtii_phycosphere
23	11	chlamydomonas_reinhardtii_phycosphere
24	33	chlamydomonas_reinhardtii_phycosphere
25	53	chlamydomonas_reinhardtii_phycosphere
26	39	chlamydomonas_reinhardtii_phycosphere
27	1	chlamydomonas_reinhardtii_phycosphere
28	4	chlamydomonas_reinhardtii_phycosphere
29	6	chlamydomonas_reinhardtii_phycosphere
3	7	chlamydomonas_reinhardtii_phycosphere
30	34	chlamydomonas_reinhardtii_phycosphere
31	4	chlamydomonas_reinhardtii_phycosphere
32	2	chlamydomonas_reinhardtii_phycosphere
33	2	chlamydomonas_reinhardtii_phycosphere
34	2	chlamydomonas_reinhardtii_phycosphere
35	3	chlamydomonas_reinhardtii_phycosphere
36	18	chlamydomonas_reinhardtii_phycosphere
38	2	chlamydomonas_reinhardtii_phycosphere
39	8	chlamydomonas_reinhardtii_phycosphere
4	4	chlamydomonas_reinhardtii_phycosphere
40	2	chlamydomonas_reinhardtii_phycosphere
41	6	chlamydomonas_reinhardtii_phycosphere
42	3	chlamydomonas_reinhardtii_phycosphere
43	1	chlamydomonas_reinhardtii_phycosphere
44	3	chlamydomonas_reinhardtii_phycosphere
45	2	chlamydomonas_reinhardtii_phycosphere
46	11	chlamydomonas_reinhardtii_phycosphere
47	4	chlamydomonas_reinhardtii_phycosphere
48	3	chlamydomonas_reinhardtii_phycosphere
49	7	chlamydomonas_reinhardtii_phycosphere
5	3	chlamydomonas_reinhardtii_phycosphere
50	7	chlamydomonas_reinhardtii_phycosphere
51	37	chlamydomonas_reinhardtii_phycosphere
52	1	chlamydomonas_reinhardtii_phycosphere
53	6	chlamydomonas_reinhardtii_phycosphere
56	13	chlamydomonas_reinhardtii_phycosphere
57	7	chlamydomonas_reinhardtii_phycosphere
58	4	chlamydomonas_reinhardtii_phycosphere
59	3	chlamydomonas_reinhardtii_phycosphere
6	6	chlamydomonas_reinhardtii_phycosphere
60	9	chlamydomonas_reinhardtii_phycosphere
61	10	chlamydomonas_reinhardtii_phycosphere
62	2	chlamydomonas_reinhardtii_phycosphere
63	1	chlamydomonas_reinhardtii_phycosphere
64	25	chlamydomonas_reinhardtii_phycosphere
67	33	chlamydomonas_reinhardtii_phycosphere
7	4	chlamydomonas_reinhardtii_phycosphere
70	2	chlamydomonas_reinhardtii_phycosphere
71	1	chlamydomonas_reinhardtii_phycosphere
72	5	chlamydomonas_reinhardtii_phycosphere
73	7	chlamydomonas_reinhardtii_phycosphere
75	2	chlamydomonas_reinhardtii_phycosphere
76	1	chlamydomonas_reinhardtii_phycosphere
77	2	chlamydomonas_reinhardtii_phycosphere
78	1	chlamydomonas_reinhardtii_phycosphere
79	5	chlamydomonas_reinhardtii_phycosphere
8	1	chlamydomonas_reinhardtii_phycosphere
82	6	chlamydomonas_reinhardtii_phycosphere
83	5	chlamydomonas_reinhardtii_phycosphere
84	1	chlamydomonas_reinhardtii_phycosphere
85	26	chlamydomonas_reinhardtii_phycosphere
86	1	chlamydomonas_reinhardtii_phycosphere
87	3	chlamydomonas_reinhardtii_phycosphere
88	5	chlamydomonas_reinhardtii_phycosphere
89	1	chlamydomonas_reinhardtii_phycosphere
90	2	chlamydomonas_reinhardtii_phycosphere
91	2	chlamydomonas_reinhardtii_phycosphere
93	1	chlamydomonas_reinhardtii_phycosphere
94	1	chlamydomonas_reinhardtii_phycosphere
95	2	chlamydomonas_reinhardtii_phycosphere
96	2	chlamydomonas_reinhardtii_phycosphere
97	1	chlamydomonas_reinhardtii_phycosphere
1	13	arabidopsis_thaliana_rhizoplane
10	15	arabidopsis_thaliana_rhizoplane
100	1	arabidopsis_thaliana_rhizoplane
101	36	arabidopsis_thaliana_rhizoplane
102	2	arabidopsis_thaliana_rhizoplane
104	4	arabidopsis_thaliana_rhizoplane
105	2	arabidopsis_thaliana_rhizoplane
107	3	arabidopsis_thaliana_rhizoplane
108	2	arabidopsis_thaliana_rhizoplane
11	24	arabidopsis_thaliana_rhizoplane
110	2	arabidopsis_thaliana_rhizoplane
112	2	arabidopsis_thaliana_rhizoplane
113	2	arabidopsis_thaliana_rhizoplane
114	2	arabidopsis_thaliana_rhizoplane
115	5	arabidopsis_thaliana_rhizoplane
116	5	arabidopsis_thaliana_rhizoplane
117	7	arabidopsis_thaliana_rhizoplane
118	2	arabidopsis_thaliana_rhizoplane
119	3	arabidopsis_thaliana_rhizoplane
12	19	arabidopsis_thaliana_rhizoplane
120	2	arabidopsis_thaliana_rhizoplane
121	6	arabidopsis_thaliana_rhizoplane
122	1	arabidopsis_thaliana_rhizoplane
123	1	arabidopsis_thaliana_rhizoplane
125	3	arabidopsis_thaliana_rhizoplane
126	1	arabidopsis_thaliana_rhizoplane
127	4	arabidopsis_thaliana_rhizoplane
128	2	arabidopsis_thaliana_rhizoplane
129	1	arabidopsis_thaliana_rhizoplane
13	9	arabidopsis_thaliana_rhizoplane
130	2	arabidopsis_thaliana_rhizoplane
131	4	arabidopsis_thaliana_rhizoplane
132	1	arabidopsis_thaliana_rhizoplane
133	5	arabidopsis_thaliana_rhizoplane
14	17	arabidopsis_thaliana_rhizoplane
15	16	arabidopsis_thaliana_rhizoplane
16	16	arabidopsis_thaliana_rhizoplane
17	10	arabidopsis_thaliana_rhizoplane
18	19	arabidopsis_thaliana_rhizoplane
19	12	arabidopsis_thaliana_rhizoplane
2	15	arabidopsis_thaliana_rhizoplane
20	42	arabidopsis_thaliana_rhizoplane
21	19	arabidopsis_thaliana_rhizoplane
22	29	arabidopsis_thaliana_rhizoplane
23	13	arabidopsis_thaliana_rhizoplane
24	33	arabidopsis_thaliana_rhizoplane
25	37	arabidopsis_thaliana_rhizoplane
26	24	arabidopsis_thaliana_rhizoplane
27	8	arabidopsis_thaliana_rhizoplane
28	8	arabidopsis_thaliana_rhizoplane
29	20	arabidopsis_thaliana_rhizoplane
3	7	arabidopsis_thaliana_rhizoplane
30	15	arabidopsis_thaliana_rhizoplane
31	11	arabidopsis_thaliana_rhizoplane
32	10	arabidopsis_thaliana_rhizoplane
33	2	arabidopsis_thaliana_rhizoplane
35	21	arabidopsis_thaliana_rhizoplane
36	26	arabidopsis_thaliana_rhizoplane
37	2	arabidopsis_thaliana_rhizoplane
38	1	arabidopsis_thaliana_rhizoplane
39	18	arabidopsis_thaliana_rhizoplane
4	7	arabidopsis_thaliana_rhizoplane
40	6	arabidopsis_thaliana_rhizoplane
41	18	arabidopsis_thaliana_rhizoplane
42	1	arabidopsis_thaliana_rhizoplane
43	4	arabidopsis_thaliana_rhizoplane
44	3	arabidopsis_thaliana_rhizoplane
45	7	arabidopsis_thaliana_rhizoplane
46	14	arabidopsis_thaliana_rhizoplane
47	16	arabidopsis_thaliana_rhizoplane
48	16	arabidopsis_thaliana_rhizoplane
49	2	arabidopsis_thaliana_rhizoplane
5	12	arabidopsis_thaliana_rhizoplane
50	4	arabidopsis_thaliana_rhizoplane
51	13	arabidopsis_thaliana_rhizoplane
52	2	arabidopsis_thaliana_rhizoplane
53	8	arabidopsis_thaliana_rhizoplane
54	6	arabidopsis_thaliana_rhizoplane
56	40	arabidopsis_thaliana_rhizoplane
57	7	arabidopsis_thaliana_rhizoplane
58	12	arabidopsis_thaliana_rhizoplane
59	14	arabidopsis_thaliana_rhizoplane
6	25	arabidopsis_thaliana_rhizoplane
60	14	arabidopsis_thaliana_rhizoplane
61	6	arabidopsis_thaliana_rhizoplane
62	8	arabidopsis_thaliana_rhizoplane
63	5	arabidopsis_thaliana_rhizoplane
64	10	arabidopsis_thaliana_rhizoplane
65	3	arabidopsis_thaliana_rhizoplane
66	6	arabidopsis_thaliana_rhizoplane
67	14	arabidopsis_thaliana_rhizoplane
69	9	arabidopsis_thaliana_rhizoplane
7	6	arabidopsis_thaliana_rhizoplane
70	2	arabidopsis_thaliana_rhizoplane
71	8	arabidopsis_thaliana_rhizoplane
72	1	arabidopsis_thaliana_rhizoplane
73	15	arabidopsis_thaliana_rhizoplane
74	1	arabidopsis_thaliana_rhizoplane
75	15	arabidopsis_thaliana_rhizoplane
76	7	arabidopsis_thaliana_rhizoplane
77	2	arabidopsis_thaliana_rhizoplane
78	2	arabidopsis_thaliana_rhizoplane
79	3	arabidopsis_thaliana_rhizoplane
8	2	arabidopsis_thaliana_rhizoplane
81	1	arabidopsis_thaliana_rhizoplane
82	15	arabidopsis_thaliana_rhizoplane
83	1	arabidopsis_thaliana_rhizoplane
84	1	arabidopsis_thaliana_rhizoplane
85	12	arabidopsis_thaliana_rhizoplane
87	7	arabidopsis_thaliana_rhizoplane
88	1	arabidopsis_thaliana_rhizoplane
89	1	arabidopsis_thaliana_rhizoplane
9	22	arabidopsis_thaliana_rhizoplane
90	2	arabidopsis_thaliana_rhizoplane
91	2	arabidopsis_thaliana_rhizoplane
94	1	arabidopsis_thaliana_rhizoplane
95	2	arabidopsis_thaliana_rhizoplane
96	4	arabidopsis_thaliana_rhizoplane
1	13	lotus_japonicus_root
10	16	lotus_japonicus_root
101	51	lotus_japonicus_root
102	4	lotus_japonicus_root
103	2	lotus_japonicus_root
104	1	lotus_japonicus_root
105	3	lotus_japonicus_root
106	1	lotus_japonicus_root
107	2	lotus_japonicus_root
108	1	lotus_japonicus_root
109	1	lotus_japonicus_root
11	24	lotus_japonicus_root
110	1	lotus_japonicus_root
112	1	lotus_japonicus_root
113	1	lotus_japonicus_root
114	3	lotus_japonicus_root
116	4	lotus_japonicus_root
117	4	lotus_japonicus_root
118	2	lotus_japonicus_root
119	2	lotus_japonicus_root
12	19	lotus_japonicus_root
120	3	lotus_japonicus_root
121	5	lotus_japonicus_root
122	2	lotus_japonicus_root
123	1	lotus_japonicus_root
125	2	lotus_japonicus_root
126	1	lotus_japonicus_root
127	3	lotus_japonicus_root
128	1	lotus_japonicus_root
129	2	lotus_japonicus_root
13	8	lotus_japonicus_root
130	1	lotus_japonicus_root
131	1	lotus_japonicus_root
132	2	lotus_japonicus_root
133	3	lotus_japonicus_root
14	14	lotus_japonicus_root
15	13	lotus_japonicus_root
16	14	lotus_japonicus_root
17	10	lotus_japonicus_root
18	30	lotus_japonicus_root
19	11	lotus_japonicus_root
2	15	lotus_japonicus_root
20	27	lotus_japonicus_root
21	17	lotus_japonicus_root
22	29	lotus_japonicus_root
23	12	lotus_japonicus_root
24	26	lotus_japonicus_root
25	21	lotus_japonicus_root
26	18	lotus_japonicus_root
27	4	lotus_japonicus_root
28	10	lotus_japonicus_root
29	19	lotus_japonicus_root
3	7	lotus_japonicus_root
30	8	lotus_japonicus_root
31	15	lotus_japonicus_root
32	6	lotus_japonicus_root
33	3	lotus_japonicus_root
34	3	lotus_japonicus_root
35	21	lotus_japonicus_root
36	16	lotus_japonicus_root
37	2	lotus_japonicus_root
38	1	lotus_japonicus_root
39	30	lotus_japonicus_root
4	10	lotus_japonicus_root
40	4	lotus_japonicus_root
41	18	lotus_japonicus_root
42	2	lotus_japonicus_root
43	4	lotus_japonicus_root
44	5	lotus_japonicus_root
45	4	lotus_japonicus_root
46	12	lotus_japonicus_root
47	16	lotus_japonicus_root
48	13	lotus_japonicus_root
49	1	lotus_japonicus_root
5	13	lotus_japonicus_root
50	7	lotus_japonicus_root
51	6	lotus_japonicus_root
52	4	lotus_japonicus_root
53	8	lotus_japonicus_root
54	4	lotus_japonicus_root
56	33	lotus_japonicus_root
57	5	lotus_japonicus_root
58	14	lotus_japonicus_root
59	13	lotus_japonicus_root
6	26	lotus_japonicus_root
60	9	lotus_japonicus_root
61	8	lotus_japonicus_root
62	12	lotus_japonicus_root
63	7	lotus_japonicus_root
64	9	lotus_japonicus_root
66	4	lotus_japonicus_root
67	9	lotus_japonicus_root
69	2	lotus_japonicus_root
7	6	lotus_japonicus_root
70	6	lotus_japonicus_root
71	5	lotus_japonicus_root
72	2	lotus_japonicus_root
73	18	lotus_japonicus_root
74	1	lotus_japonicus_root
75	14	lotus_japonicus_root
76	5	lotus_japonicus_root
77	4	lotus_japonicus_root
78	1	lotus_japonicus_root
8	5	lotus_japonicus_root
80	3	lotus_japonicus_root
81	4	lotus_japonicus_root
82	9	lotus_japonicus_root
83	2	lotus_japonicus_root
84	5	lotus_japonicus_root
85	6	lotus_japonicus_root
86	3	lotus_japonicus_root
87	2	lotus_japonicus_root
89	3	lotus_japonicus_root
9	22	lotus_japonicus_root
90	3	lotus_japonicus_root
91	1	lotus_japonicus_root
92	1	lotus_japonicus_root
93	1	lotus_japonicus_root
94	4	lotus_japonicus_root
95	1	lotus_japonicus_root
96	6	lotus_japonicus_root
1	13	lotus_japonicus_rhizosphere
10	16	lotus_japonicus_rhizosphere
100	1	lotus_japonicus_rhizosphere
101	51	lotus_japonicus_rhizosphere
102	4	lotus_japonicus_rhizosphere
103	2	lotus_japonicus_rhizosphere
104	4	lotus_japonicus_rhizosphere
105	2	lotus_japonicus_rhizosphere
106	5	lotus_japonicus_rhizosphere
107	3	lotus_japonicus_rhizosphere
108	4	lotus_japonicus_rhizosphere
11	24	lotus_japonicus_rhizosphere
110	10	lotus_japonicus_rhizosphere
112	2	lotus_japonicus_rhizosphere
113	7	lotus_japonicus_rhizosphere
114	2	lotus_japonicus_rhizosphere
115	7	lotus_japonicus_rhizosphere
116	6	lotus_japonicus_rhizosphere
117	12	lotus_japonicus_rhizosphere
118	10	lotus_japonicus_rhizosphere
119	4	lotus_japonicus_rhizosphere
