Cluster	Decrease	P_value	Comparison
Cluster_26	0.534317967685908	0.168680338213515	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_27	-6.27334052436436	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_28	1.14633711244589	0.0231967089167168	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_29	-8.49112226291683	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_3	-7.38283126865477	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_30	-5.70788942691784	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_31	-4.28557049524993	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_32	-3.33482026031018	0.999999999821151	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_33	-1.67632400006002	0.999200905541105	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_34	-1.24547714774511	0.99220514606249	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_35	-1.19238529178706	0.989060324771383	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_36	-1.94535065535024	0.99972135476654	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_37	-8.91147361438334	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_38	-6.86915155712198	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_39	-5.02508313637155	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_4	-2.25129917694638	0.99997555187609	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_40	-0.0186891602582904	0.513246695117704	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_41	-2.15095830205715	0.999943672170118	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_42	-2.54540740330296	0.999998965708541	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_43	-3.27935568463691	0.999999999467477	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_44	-2.29554761016723	0.999996237694016	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_45	-0.680083676456519	0.897671487491952	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_46	-2.33953242312067	0.999995600332345	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_47	-4.07015114196109	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_48	-2.66789088796361	0.999999576578468	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_49	-5.12107684518661	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_5	-4.47652510065871	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_50	-4.5135104872581	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_51	-2.6512820623373	0.999999918860628	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_52	-3.44718103827267	0.999999999996964	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_53	-2.97717731275844	0.999999989515086	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_54	-0.086776204466986	0.560940639470901	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_55	-5.89665095535075	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_56	0.990076294945652	0.0382132127473397	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_57	-4.52895427159211	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_58	-0.388977306271798	0.763594593814806	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_59	-3.46371198455645	0.999999999998565	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_6	-6.77091390104158	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_60	-4.08077096199668	0.99999999999966	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_61	-4.72479253353102	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_62	-2.60561038033053	0.999999889287982	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_63	-2.22325653336021	0.999993424933292	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_64	-2.43644997877958	0.999997410371656	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_65	-4.18477092654769	0.999999999999905	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_66	-3.28930046302027	0.999999999935246	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_67	1.47777669528601	0.00165385208387729	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_68	-2.12311433072828	0.999965402913481	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_69	-4.78151192856441	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_7	-4.54839691679986	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_70	1.69290811830247	0.00106870283013553	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_71	-7.30111865513328	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_72	-1.28644494282665	0.996139197626944	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_73	-0.68034543062376	0.919735148674818	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_74	-4.83486420449353	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_75	-9.57634117424288	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_76	-4.12198806437868	0.999999999999995	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_77	-2.05998253943881	0.999892027428	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_78	-5.66885048520319	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_79	-5.25671671940165	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_8	1.43815989721239	0.00477264261537708	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_80	-3.4426369320993	0.999999999989901	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_81	-4.21751406327616	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_82	-9.08277062298153	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_83	-4.5643399508769	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_84	-4.12891744494419	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_85	3.355011731931	2.59898220798682e-10	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_86	-6.51977417424791	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_87	-5.23614585856163	1	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
Cluster_88	-2.91464369478136	0.999999962885228	lotus_japonicus_rhizosphere_vs_lotus_japonicus_root
