Cluster	Decrease_Mean
Cluster_1	1.99151261196613
Cluster_10	1.96128857500837
Cluster_100	0.700389955638408
Cluster_101	3.0965817812794
Cluster_102	1.1464168277384
Cluster_103	0.643835992223734
Cluster_104	0.876628926025794
Cluster_105	1.10799931296099
Cluster_106	-0.0469879502126001
Cluster_107	0.593821633112226
Cluster_108	1.58473845079479
Cluster_109	0.729909745662809
Cluster_11	1.87112422590877
Cluster_110	0.816477645860366
Cluster_111	0.28228093494435
Cluster_112	1.16356308475635
Cluster_113	1.17273551620587
Cluster_114	0.378099648164196
Cluster_115	1.02554092374815
Cluster_116	0.452961687257573
Cluster_117	1.61889050888429
Cluster_118	0.223802409176355
Cluster_119	1.55837631172084
Cluster_12	1.15556212182314
Cluster_120	1.25805299256216
Cluster_121	2.0418227280915
Cluster_122	0.509283385113699
Cluster_123	1.25817025609405
Cluster_124	0.94755329115387
Cluster_125	0.984863518085599
Cluster_126	-0.126553664152964
Cluster_127	0.895922555076548
Cluster_128	0.6588078532522
Cluster_129	1.05465141077591
Cluster_13	0.311810642519203
Cluster_130	0.858674213577434
Cluster_131	1.57329919188976
Cluster_132	1.26693423663639
Cluster_133	0.805866888224991
Cluster_134	0.321530044123882
Cluster_14	2.02721439571485
Cluster_15	1.29799457110823
Cluster_16	1.21809718717361
Cluster_17	1.56336927459966
Cluster_18	1.18676133706971
Cluster_19	2.75809923054981
Cluster_2	1.55320291248921
Cluster_20	4.15369066621441
Cluster_21	2.27771675698173
Cluster_22	1.55124148942901
Cluster_23	1.67120636966179
Cluster_24	3.43245183322331
Cluster_25	2.09687989777898
Cluster_26	2.67043450019683
Cluster_27	0.655516445027376
Cluster_28	0.510469902850941
Cluster_29	1.26086909447827
Cluster_3	0.0838219765131584
Cluster_30	2.51027512417674
Cluster_31	1.26479403318036
Cluster_32	0.939881753354742
Cluster_33	0.621427032095618
Cluster_34	1.31036775389646
Cluster_35	2.66272020354065
Cluster_36	3.02045649410756
Cluster_37	0.222921940345464
Cluster_38	0.329884009630283
Cluster_39	0.787018890446622
Cluster_4	1.45885092658459
Cluster_40	1.09466916392261
Cluster_41	1.45010974307419
Cluster_42	0.591196142504441
Cluster_43	0.255194574188795
Cluster_44	1.29284340899855
Cluster_45	1.11945797548272
Cluster_46	0.636576678056851
Cluster_47	1.21520543747784
Cluster_48	1.01958542104616
Cluster_49	1.26041439051016
Cluster_5	1.30941255179511
Cluster_50	0.18885634228658
Cluster_51	1.70880534207094
Cluster_52	0.86440285930443
Cluster_53	1.25087235573517
Cluster_54	0.846663665938165
Cluster_55	0.166824317487315
Cluster_56	6.47806974918775
Cluster_57	0.0452872698181274
Cluster_58	1.94850915633453
Cluster_59	0.491784715497369
Cluster_6	1.32249350651314
Cluster_60	1.84894416017997
Cluster_61	2.33043244099786
Cluster_62	2.03909538591243
Cluster_63	0.621921052334064
Cluster_64	1.00079039491168
Cluster_65	0.218197357166084
Cluster_66	0.847937018249617
Cluster_67	3.61440773911597
Cluster_68	-0.0559181505892004
Cluster_69	0.504431160773202
Cluster_7	0.592621691121421
Cluster_70	1.37784181158997
Cluster_71	0.582598307005311
Cluster_72	0.513140330007015
Cluster_73	2.61640369591614
Cluster_74	-0.126354690806077
Cluster_75	1.01991466662661
Cluster_76	0.0411636237540583
Cluster_77	0.448920378946715
Cluster_78	0.234910539150068
Cluster_79	0.713985759351963
Cluster_8	0.810005156071612
Cluster_80	0.580880320616488
Cluster_81	0.681536585247681
Cluster_82	0.506423169586795
Cluster_83	1.04177567735638
Cluster_84	0.14358097837452
Cluster_85	3.17952251162528
Cluster_86	0.33681186481366
Cluster_87	0.717773563192343
Cluster_88	1.20853168192076
Cluster_89	0.48657985188495
Cluster_9	1.74447297129689
Cluster_90	0.629623593070778
Cluster_91	0.714695402900539
Cluster_92	0.574104644293341
Cluster_93	1.25666831073867
Cluster_94	0.38772548722979
Cluster_95	2.1923294957228
Cluster_96	1.04377570162209
Cluster_97	0.672696304790786
Cluster_98	0.983796645716024
Cluster_99	0.0752983725307204
