Sample_ID	RA_rep	Host.Species	Compartment	Soil
bourceret_2016_00001	0.8115	zea_mays_l	soil	DEMO
bourceret_2016_00002	0.7465	zea_mays_l	soil	DEMO
bourceret_2016_00003	0.845	zea_mays_l	soil	DEMO
bourceret_2016_00004	0.5955	zea_mays_l	soil	DEMO
bourceret_2016_00005	0.727	zea_mays_l	soil	DEMO
bourceret_2016_00006	0.6735	zea_mays_l	soil	DEMO
bourceret_2016_00007	0.6305	zea_mays_l	soil	DEMO
bourceret_2016_00008	0.699	zea_mays_l	soil	DEMO
bourceret_2016_00009	0.679	zea_mays_l	soil	DEMO
bourceret_2016_00010	0.8235	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00011	0.7955	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00012	0.8275	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00013	0.8915	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00014	0.8715	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00015	0.8705	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00016	0.8825	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00017	0.7995	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00018	0.7515	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00019	0.8555	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00020	0.867	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00021	0.85	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00022	0.8255	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00023	0.732	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00024	0.798	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00025	0.8705	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00026	0.8505	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00027	0.898	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00028	0.8285	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00029	0.8225	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00030	0.8895	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00031	0.8085	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00032	0.564	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00033	0.782	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00034	0.7165	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00035	0.884	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00036	0.8265	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00037	0.6585	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00038	0.801	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00039	0.6955	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00040	0.821	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00041	0.8835	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00042	0.854	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00043	0.8745	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00044	0.8225	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00045	0.774	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00046	0.8185	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00047	0.74	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00048	0.7535	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00049	0.835	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00050	0.7185	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00051	0.8055	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00052	0.778	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00053	0.7255	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00054	0.7365	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00055	0.723	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00056	0.611	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00057	0.7505	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00058	0.669	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00059	0.7115	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00060	0.7295	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00061	0.786	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00062	0.703	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00063	0.7555	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00064	0.688	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00065	0.7395	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00066	0.644	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00067	0.7125	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00068	0.7445	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00069	0.7295	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00070	0.749	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00071	0.968	zea_mays_l	root	DEMO
bourceret_2016_00072	0.886	zea_mays_l	root	DEMO
bourceret_2016_00073	0.922	zea_mays_l	root	DEMO
bourceret_2016_00074	0.9635	zea_mays_l	root	DEMO
bourceret_2016_00075	0.8835	zea_mays_l	root	DEMO
bourceret_2016_00076	0.957	zea_mays_l	root	DEMO
bourceret_2016_00077	0.8805	zea_mays_l	root	DEMO
bourceret_2016_00078	0.909	zea_mays_l	root	DEMO
bourceret_2016_00079	0.8265	zea_mays_l	root	DEMO
bourceret_2016_00080	0.885	zea_mays_l	root	DEMO
bourceret_2016_00081	0.95	zea_mays_l	root	DEMO
bourceret_2016_00082	0.9495	zea_mays_l	root	DEMO
bourceret_2016_00083	0.7785	zea_mays_l	root	DEMO
bourceret_2016_00084	0.5105	zea_mays_l	root	DEMO
bourceret_2016_00085	0.8385	zea_mays_l	root	DEMO
bourceret_2016_00086	0.9625	zea_mays_l	root	DEMO
bourceret_2016_00087	0.955	zea_mays_l	root	DEMO
bourceret_2016_00088	0.973	zea_mays_l	root	DEMO
bourceret_2016_00089	0.9595	zea_mays_l	root	DEMO
bourceret_2016_00090	0.936	zea_mays_l	root	DEMO
bourceret_2016_00091	0.96	zea_mays_l	root	DEMO
bourceret_2016_00092	0.946	zea_mays_l	root	DEMO
bourceret_2016_00093	0.9285	zea_mays_l	root	DEMO
bourceret_2016_00094	0.8235	zea_mays_l	root	DEMO
bourceret_2016_00095	0.8515	zea_mays_l	root	DEMO
bourceret_2016_00096	0.809	zea_mays_l	root	DEMO
bourceret_2016_00097	0.8955	zea_mays_l	root	DEMO
bourceret_2016_00098	0.6245	zea_mays_l	root	DEMO
bourceret_2016_00099	0.435	zea_mays_l	root	DEMO
bourceret_2016_00100	0.922	zea_mays_l	root	DEMO
bourceret_2016_00101	0.926	zea_mays_l	root	DEMO
bourceret_2016_00102	0.274	zea_mays_l	root	DEMO
bourceret_2016_00103	0.908	zea_mays_l	root	DEMO
bourceret_2016_00104	0.8245	zea_mays_l	root	DEMO
bourceret_2016_00105	0.9065	zea_mays_l	root	DEMO
bourceret_2016_00106	0.897	zea_mays_l	root	DEMO
bourceret_2016_00107	0.8665	zea_mays_l	root	DEMO
bourceret_2016_00108	0.6595	zea_mays_l	root	DEMO
bourceret_2016_00109	0.7345	zea_mays_l	root	DEMO
bourceret_2016_00110	0.1815	zea_mays_l	root	DEMO
bourceret_2016_00111	0.192	zea_mays_l	root	DEMO
bourceret_2016_00112	0.973	zea_mays_l	root	DEMO
bourceret_2016_00113	0.983	zea_mays_l	root	DEMO
bourceret_2016_00114	0.8975	zea_mays_l	root	DEMO
bourceret_2016_00115	0.7955	zea_mays_l	root	DEMO
bourceret_2016_00116	0.908	zea_mays_l	root	DEMO
bourceret_2016_00117	0.9525	zea_mays_l	root	DEMO
bourceret_2016_00118	0.8555	zea_mays_l	root	DEMO
bourceret_2016_00119	0.828	zea_mays_l	root	DEMO
bourceret_2016_00120	0.816	zea_mays_l	root	DEMO
bourceret_2016_00121	0.9675	zea_mays_l	root	DEMO
bourceret_2016_00122	0.4545	zea_mays_l	root	DEMO
bourceret_2016_00123	0.8255	zea_mays_l	root	DEMO
bourceret_2016_00124	0.904	zea_mays_l	root	DEMO
bourceret_2016_00125	0.8665	zea_mays_l	root	DEMO
bourceret_2016_00126	0.922	zea_mays_l	root	DEMO
bourceret_2016_00127	0.783	zea_mays_l	root	DEMO
bourceret_2016_00128	0.9465	zea_mays_l	root	DEMO
bourceret_2016_00129	0.8935	zea_mays_l	root	DEMO
bourceret_2016_00130	0.8495	zea_mays_l	root	DEMO
bourceret_2016_00131	0.8575	zea_mays_l	root	DEMO
bourceret_2016_00132	0.747	zea_mays_l	soil	DEMO
bourceret_2016_00133	0.7235	zea_mays_l	soil	DEMO
bourceret_2016_00134	0.6755	zea_mays_l	soil	DEMO
bourceret_2016_00135	0.6995	zea_mays_l	soil	DEMO
bourceret_2016_00136	0.7055	zea_mays_l	soil	DEMO
bourceret_2016_00137	0.752	zea_mays_l	soil	DEMO
