Sample_ID	RA_rep	Host.Species	Compartment	Soil
bourceret_2016_00055	0.523066485753053	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00056	0.454234972677596	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00057	0.561859193438141	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00058	0.480191256830601	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00059	0.524298425735797	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00060	0.534612748457848	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00061	0.518088737201365	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00062	0.526566757493188	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00063	0.539410555174777	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00064	0.531420765027322	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00065	0.504781420765027	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00066	0.48936170212766	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00067	0.497961956521739	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00068	0.476839237057221	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00069	0.468172484599589	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00070	0.394064872325742	zea_mays_l	rhizosphere	DEMO
bourceret_2016_00071	0.654753877275792	zea_mays_l	root	DEMO
bourceret_2016_00072	0.772413793103448	zea_mays_l	root	DEMO
bourceret_2016_00073	0.75668449197861	zea_mays_l	root	DEMO
bourceret_2016_00074	0.628956228956229	zea_mays_l	root	DEMO
bourceret_2016_00083	0.673620457604307	zea_mays_l	root	DEMO
bourceret_2016_00084	0.696928327645051	zea_mays_l	root	DEMO
bourceret_2016_00085	0.712558764271323	zea_mays_l	root	DEMO
bourceret_2016_00086	0.614660390047075	zea_mays_l	root	DEMO
bourceret_2016_00087	0.669360269360269	zea_mays_l	root	DEMO
bourceret_2016_00088	0.680965147453083	zea_mays_l	root	DEMO
bourceret_2016_00089	0.654801880456682	zea_mays_l	root	DEMO
bourceret_2016_00090	0.709677419354839	zea_mays_l	root	DEMO
bourceret_2016_00091	0.718707940780619	zea_mays_l	root	DEMO
bourceret_2016_00092	0.779282329045362	zea_mays_l	root	DEMO
bourceret_2016_00093	0.748990578734859	zea_mays_l	root	DEMO
bourceret_2016_00094	0.740120562625586	zea_mays_l	root	DEMO
bourceret_2016_00095	0.725556304787593	zea_mays_l	root	DEMO
bourceret_2016_00096	0.652472527472527	zea_mays_l	root	DEMO
bourceret_2016_00097	0.575016972165648	zea_mays_l	root	DEMO
bourceret_2016_00098	0.861092380310182	zea_mays_l	root	DEMO
bourceret_2016_00099	0.66826593557231	zea_mays_l	root	DEMO
bourceret_2016_00100	0.754588715159755	zea_mays_l	root	DEMO
bourceret_2016_00101	0.715633423180593	zea_mays_l	root	DEMO
bourceret_2016_00102	0.776048714479026	zea_mays_l	root	DEMO
bourceret_2016_00103	0.713706954760297	zea_mays_l	root	DEMO
bourceret_2016_00104	0.609406952965235	zea_mays_l	root	DEMO
bourceret_2016_00105	0.222222222222222	zea_mays_l	root	DEMO
bourceret_2016_00106	0.50976430976431	zea_mays_l	root	DEMO
bourceret_2016_00107	0.799593771157752	zea_mays_l	root	DEMO
bourceret_2016_00108	0.64841108857336	zea_mays_l	root	DEMO
bourceret_2016_00109	0.601365187713311	zea_mays_l	root	DEMO
bourceret_2016_00110	0.717096336499322	zea_mays_l	root	DEMO
bourceret_2016_00111	0.660738714090287	zea_mays_l	root	DEMO
bourceret_2016_00112	0.725961538461538	zea_mays_l	root	DEMO
bourceret_2016_00113	0.711248285322359	zea_mays_l	root	DEMO
bourceret_2016_00114	0.729323308270677	zea_mays_l	root	DEMO
bourceret_2016_00115	0.696211096075778	zea_mays_l	root	DEMO
bourceret_2016_00116	0.732191780821918	zea_mays_l	root	DEMO
bourceret_2016_00117	0.665762711864407	zea_mays_l	root	DEMO
bourceret_2016_00118	0.702888583218707	zea_mays_l	root	DEMO
bourceret_2016_00119	0.726027397260274	zea_mays_l	root	DEMO
bourceret_2016_00120	0.469262295081967	zea_mays_l	root	DEMO
bourceret_2016_00121	0.397506925207756	zea_mays_l	root	DEMO
bourceret_2016_00122	0.616475354490209	zea_mays_l	root	DEMO
bourceret_2016_00123	0.670723461798512	zea_mays_l	root	DEMO
bourceret_2016_00124	0.74798927613941	zea_mays_l	root	DEMO
bourceret_2016_00125	0.508075370121131	zea_mays_l	root	DEMO
bourceret_2016_00126	0.700808625336927	zea_mays_l	root	DEMO
bourceret_2016_00127	0.708445040214477	zea_mays_l	root	DEMO
bourceret_2016_00128	0.351444291609353	zea_mays_l	root	DEMO
bourceret_2016_00129	0.75959595959596	zea_mays_l	root	DEMO
bourceret_2016_00130	0.677441077441078	zea_mays_l	root	DEMO
bourceret_2016_00131	0.654891304347826	zea_mays_l	root	DEMO
bourceret_2016_00132	0.51092318534179	zea_mays_l	soil	DEMO
bourceret_2016_00133	0.574453551912568	zea_mays_l	soil	DEMO
bourceret_2016_00134	0.554175293305728	zea_mays_l	soil	DEMO
bourceret_2016_00135	0.564681724845996	zea_mays_l	soil	DEMO
bourceret_2016_00136	0.579889807162534	zea_mays_l	soil	DEMO
bourceret_2016_00137	0.554250172771251	zea_mays_l	soil	DEMO
bourceret_2016_00138	0.503462603878116	zea_mays_l	soil	DEMO
bourceret_2016_00139	0.514502762430939	zea_mays_l	soil	DEMO
bourceret_2016_00140	0.527222605099931	zea_mays_l	soil	DEMO
bourceret_2016_00141	0.508532423208191	zea_mays_l	soil	DEMO
bourceret_2016_00142	0.495476687543493	zea_mays_l	soil	DEMO
bourceret_2016_00143	0.479413817166783	zea_mays_l	soil	DEMO
bourceret_2016_00144	0.538355217691776	zea_mays_l	soil	DOK
bourceret_2016_00145	0.538303693570451	zea_mays_l	soil	DOK
bourceret_2016_00146	0.541553133514986	zea_mays_l	soil	DOK
bourceret_2016_00147	0.554489376285127	zea_mays_l	soil	DOK
bourceret_2016_00148	0.572112098427888	zea_mays_l	soil	DOK
bourceret_2016_00149	0.533746556473829	zea_mays_l	soil	DOK
bourceret_2016_00150	0.425874125874126	zea_mays_l	soil	DOK
bourceret_2016_00151	0.491046831955923	zea_mays_l	soil	DOK
bourceret_2016_00152	0.518518518518518	zea_mays_l	soil	DOK
bourceret_2016_00153	0.490683229813665	zea_mays_l	soil	DOK
bourceret_2016_00154	0.492783505154639	zea_mays_l	soil	DOK
bourceret_2016_00155	0.46907574704656	zea_mays_l	soil	DOK
bourceret_2016_00156	0.443980514961726	zea_mays_l	soil	DOK
bourceret_2016_00157	0.50068870523416	zea_mays_l	soil	DOK
bourceret_2016_00158	0.492793411118737	zea_mays_l	soil	DOK
bourceret_2016_00159	0.545516304347826	zea_mays_l	soil	DOK
bourceret_2016_00160	0.430336307481126	zea_mays_l	soil	DOK
bourceret_2016_00161	0.483937115516063	zea_mays_l	soil	DOK
bourceret_2016_00162	0.603249830737982	zea_mays_l	soil	DOK
bourceret_2016_00163	0.575323790047716	zea_mays_l	soil	DOK
bourceret_2016_00164	0.568788501026694	zea_mays_l	soil	DOK
bourceret_2016_00165	0.583617747440273	zea_mays_l	soil	DOK
bourceret_2016_00166	0.641638225255973	zea_mays_l	soil	DOK
bourceret_2016_00167	0.593220338983051	zea_mays_l	soil	DOK
bourceret_2016_00168	0.506547208821502	zea_mays_l	soil	DOK
bourceret_2016_00169	0.506520247083047	zea_mays_l	soil	DOK
bourceret_2016_00170	0.503472222222222	zea_mays_l	soil	DOK
bourceret_2016_00171	0.541296928327645	zea_mays_l	soil	DOK
bourceret_2016_00172	0.507947477539737	zea_mays_l	soil	DOK
bourceret_2016_00173	0.55044612216884	zea_mays_l	soil	DOK
bourceret_2016_00174	0.49757785467128	zea_mays_l	soil	DOK
bourceret_2016_00175	0.573204419889503	zea_mays_l	soil	DOK
bourceret_2016_00176	0.57201646090535	zea_mays_l	soil	DOK
bourceret_2016_00177	0.572413793103448	zea_mays_l	soil	DOK
bourceret_2016_00178	0.595303867403315	zea_mays_l	soil	DOK
bourceret_2016_00179	0.639097744360902	zea_mays_l	soil	DOK
bourceret_2016_00180	0.556629834254144	zea_mays_l	soil	DOK
bourceret_2016_00181	0.56811797752809	zea_mays_l	soil	DOK
bourceret_2016_00182	0.540858725761773	zea_mays_l	soil	DOK
bourceret_2016_00183	0.53808864265928	zea_mays_l	soil	DOK
bourceret_2016_00184	0.53232462173315	zea_mays_l	soil	DOK
bourceret_2016_00185	0.555858310626703	zea_mays_l	soil	DOK
bourceret_2016_00186	0.637107776261937	zea_mays_l	soil	DOK
bourceret_2016_00187	0.595788043478261	zea_mays_l	soil	DOK
bourceret_2016_00188	0.610238907849829	zea_mays_l	soil	DOK
bourceret_2016_00189	0.602991162474507	zea_mays_l	soil	DOK
bourceret_2016_00190	0.539748953974895	zea_mays_l	soil	DOK
bourceret_2016_00191	0.59958932238193	zea_mays_l	soil	DOK
bourceret_2018_00001	0.758879781420765	zea_mays_l	root	DEMO
bourceret_2018_00002	0.729054054054054	zea_mays_l	root	DEMO
bourceret_2018_00003	0.716891891891892	zea_mays_l	root	DEMO
bourceret_2018_00004	0.752570253598355	zea_mays_l	root	DEMO
bourceret_2018_00005	0.774562584118439	zea_mays_l	root	DEMO
bourceret_2018_00006	0.77027027027027	zea_mays_l	root	DEMO
bourceret_2018_00007	0.755254237288136	zea_mays_l	root	DEMO
bourceret_2018_00009	0.669122572002679	zea_mays_l	root	DEMO
bourceret_2018_00015	0.700542005420054	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00017	0.488607594936709	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00025	0.782345013477089	zea_mays_l	root	DEMO
bourceret_2018_00026	0.525780682643428	zea_mays_l	root	DEMO
bourceret_2018_00027	0.687079407806191	zea_mays_l	root	DEMO
bourceret_2018_00028	0.780281690140845	zea_mays_l	root	DEMO
bourceret_2018_00032	0.737174982431483	zea_mays_l	root	DEMO
bourceret_2018_00033	0.700202565833896	zea_mays_l	root	DEMO
bourceret_2018_00034	0.622041420118343	zea_mays_l	root	DEMO
bourceret_2018_00035	0.694386694386694	zea_mays_l	root	DEMO
bourceret_2018_00036	0.74275092936803	zea_mays_l	root	DEMO
bourceret_2018_00037	0.561989100817439	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00038	0.569775357385977	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00039	0.556927297668038	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00040	0.488066825775656	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00041	0.5672	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00042	0.573888091822095	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00043	0.592159559834938	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00044	0.631389488840893	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00045	0.504178272980501	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00046	0.554869684499314	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00047	0.594668489405332	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00048	0.568614130434783	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00049	0.822966507177033	zea_mays_l	root	DEMO
bourceret_2018_00050	0.806711409395973	zea_mays_l	root	DEMO
bourceret_2018_00051	0.755088195386703	zea_mays_l	root	DEMO
bourceret_2018_00052	0.806451612903226	zea_mays_l	root	DEMO
bourceret_2018_00053	0.818304172274563	zea_mays_l	root	DEMO
bourceret_2018_00054	0.770847457627119	zea_mays_l	root	DEMO
bourceret_2018_00055	0.84979702300406	zea_mays_l	root	DOK
bourceret_2018_00056	0.783221476510067	zea_mays_l	root	DOK
bourceret_2018_00057	0.912751677852349	zea_mays_l	root	DOK
bourceret_2018_00063	0.757596218771101	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00064	0.753846153846154	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00065	0.713324360699865	zea_mays_l	rhizosphere	DEMO
bourceret_2018_00071	0.799865681665547	zea_mays_l	rhizosphere	DOK
bourceret_2018_00072	0.770315648085964	zea_mays_l	rhizosphere	DOK
bourceret_2018_00073	0.606651376146789	zea_mays_l	root	DOK
bourceret_2018_00074	0.552505966587112	zea_mays_l	root	DOK
bourceret_2018_00075	0.609702315325248	zea_mays_l	root	DOK
bourceret_2018_00076	0.704206241519674	zea_mays_l	root	DOK
bourceret_2018_00077	0.649896623018608	zea_mays_l	root	DOK
bourceret_2018_00078	0.761774744027304	zea_mays_l	root	DOK
bourceret_2018_00079	0.779132791327913	zea_mays_l	root	DOK
bourceret_2018_00080	0.601769911504425	zea_mays_l	root	DOK
bourceret_2018_00081	0.718290119131044	zea_mays_l	root	DOK
bourceret_2018_00082	0.70551724137931	zea_mays_l	root	DOK
bourceret_2018_00083	0.660416666666667	zea_mays_l	root	DOK
bourceret_2018_00084	0.739541160593792	zea_mays_l	root	DOK
bourceret_2018_00085	0.630968622100955	zea_mays_l	rhizosphere	DOK
bourceret_2018_00086	0.506572295247725	zea_mays_l	rhizosphere	DOK
bourceret_2018_00087	0.609027777777778	zea_mays_l	rhizosphere	DOK
bourceret_2018_00088	0.549412577747063	zea_mays_l	rhizosphere	DOK
bourceret_2018_00089	0.500404203718674	zea_mays_l	rhizosphere	DOK
bourceret_2018_00090	0.601433691756272	zea_mays_l	rhizosphere	DOK
bourceret_2018_00091	0.586460632818249	zea_mays_l	rhizosphere	DOK
bourceret_2018_00092	0.508127208480565	zea_mays_l	rhizosphere	DOK
bourceret_2018_00093	0.581288343558282	zea_mays_l	rhizosphere	DOK
bourceret_2018_00097	0.70189701897019	zea_mays_l	root	DOK
bourceret_2018_00098	0.693450371370696	zea_mays_l	root	DOK
bourceret_2018_00099	0.721809588116138	zea_mays_l	root	DOK
bourceret_2018_00100	0.737196765498652	zea_mays_l	root	DOK
bourceret_2018_00101	0.736101808439384	zea_mays_l	root	DOK
bourceret_2018_00102	0.733644859813084	zea_mays_l	root	DOK
bourceret_2018_00103	0.732203389830508	zea_mays_l	root	DOK
bourceret_2018_00104	0.7642330877428	zea_mays_l	root	DOK
bourceret_2018_00105	0.690140845070423	zea_mays_l	root	DOK
bourceret_2018_00106	0.68010752688172	zea_mays_l	root	DOK
bourceret_2018_00107	0.659259259259259	zea_mays_l	root	DOK
bourceret_2018_00108	0.751677852348993	zea_mays_l	root	DOK
bourceret_2018_00109	0.572958500669344	zea_mays_l	rhizosphere	DOK
bourceret_2018_00110	0.570275722932078	zea_mays_l	rhizosphere	DOK
bourceret_2018_00111	0.572386058981233	zea_mays_l	rhizosphere	DOK
bourceret_2018_00112	0.572002679169457	zea_mays_l	rhizosphere	DOK
bourceret_2018_00113	0.581363943281566	zea_mays_l	rhizosphere	DOK
bourceret_2018_00114	0.545210984594776	zea_mays_l	rhizosphere	DOK
bourceret_2018_00115	0.559866220735786	zea_mays_l	rhizosphere	DOK
bourceret_2018_00116	0.580321285140562	zea_mays_l	rhizosphere	DOK
bourceret_2018_00117	0.574482297929192	zea_mays_l	rhizosphere	DOK
bourceret_2018_00118	0.591275167785235	zea_mays_l	rhizosphere	DOK
bourceret_2018_00119	0.577597840755736	zea_mays_l	rhizosphere	DOK
bourceret_2018_00120	0.609919571045576	zea_mays_l	rhizosphere	DOK
bourceret_2018_00121	0.709654178674352	zea_mays_l	root	DOK
bourceret_2018_00122	0.725986597170514	zea_mays_l	root	DOK
bourceret_2018_00124	0.748148148148148	zea_mays_l	root	DOK
bourceret_2018_00125	0.716528925619835	zea_mays_l	root	DOK
bourceret_2018_00126	0.776954177897574	zea_mays_l	root	DOK
bourceret_2018_00127	0.78023598820059	zea_mays_l	root	DOK
bourceret_2018_00128	0.731617647058824	zea_mays_l	root	DOK
bourceret_2018_00129	0.751691474966171	zea_mays_l	root	DOK
bourceret_2018_00130	0.75219446320054	zea_mays_l	root	DOK
bourceret_2018_00131	0.769491525423729	zea_mays_l	root	DOK
bourceret_2018_00132	0.772143340094659	zea_mays_l	root	DOK
bourceret_2018_00133	0.625095638867636	zea_mays_l	rhizosphere	DOK
bourceret_2018_00134	0.591412742382271	zea_mays_l	rhizosphere	DOK
bourceret_2018_00135	0.626907073509015	zea_mays_l	rhizosphere	DOK
bourceret_2018_00136	0.544223107569721	zea_mays_l	rhizosphere	DOK
bourceret_2018_00137	0.583333333333333	zea_mays_l	rhizosphere	DOK
bourceret_2018_00138	0.623029472241261	zea_mays_l	rhizosphere	DOK
bourceret_2018_00139	0.602135231316726	zea_mays_l	rhizosphere	DOK
bourceret_2018_00140	0.572946175637394	zea_mays_l	rhizosphere	DOK
bourceret_2018_00143	0.700534759358289	zea_mays_l	rhizosphere	DOK
bourceret_2018_00144	0.660402684563758	zea_mays_l	rhizosphere	DOK
bourceret_2018_00145	0.816230717639168	zea_mays_l	root	DOK
bourceret_2018_00146	0.836120401337793	zea_mays_l	root	DOK
bourceret_2018_00147	0.772940388479571	zea_mays_l	root	DOK
bourceret_2018_00148	0.792338709677419	zea_mays_l	root	DOK
bourceret_2018_00149	0.80133779264214	zea_mays_l	root	DOK
bourceret_2018_00150	0.790322580645161	zea_mays_l	root	DOK
bourceret_2018_00151	0.724021592442645	zea_mays_l	root	DOK
bourceret_2018_00152	0.76510067114094	zea_mays_l	root	DOK
bourceret_2018_00153	0.740391099123399	zea_mays_l	root	DOK
bourceret_2018_00154	0.774431057563588	zea_mays_l	root	DOK
bourceret_2018_00155	0.72911051212938	zea_mays_l	root	DOK
bourceret_2018_00156	0.753525856279382	zea_mays_l	root	DOK
bourceret_2018_00157	0.708137188971083	zea_mays_l	rhizosphere	DOK
bourceret_2018_00158	0.664879356568365	zea_mays_l	rhizosphere	DOK
bourceret_2018_00159	0.651647612642905	zea_mays_l	rhizosphere	DOK
bourceret_2018_00160	0.681665547347213	zea_mays_l	rhizosphere	DOK
bourceret_2018_00161	0.668900804289544	zea_mays_l	rhizosphere	DOK
bourceret_2018_00162	0.64405641370047	zea_mays_l	rhizosphere	DOK
bourceret_2018_00163	0.650879566982409	zea_mays_l	rhizosphere	DOK
bourceret_2018_00164	0.683612040133779	zea_mays_l	rhizosphere	DOK
bourceret_2018_00165	0.663746630727763	zea_mays_l	rhizosphere	DOK
bourceret_2018_00166	0.65993265993266	zea_mays_l	rhizosphere	DOK
bourceret_2018_00167	0.650975117686617	zea_mays_l	rhizosphere	DOK
bourceret_2018_00168	0.677897574123989	zea_mays_l	rhizosphere	DOK
bourceret_2018_00169	0.814715719063545	zea_mays_l	root	DOK
bourceret_2018_00171	0.785140562248996	zea_mays_l	root	DOK
bourceret_2018_00172	0.773768216516308	zea_mays_l	root	DOK
bourceret_2018_00175	0.815255423372988	zea_mays_l	root	DOK
bourceret_2018_00181	0.484438430311231	zea_mays_l	rhizosphere	DOK
bourceret_2018_00182	0.557277628032345	zea_mays_l	rhizosphere	DOK
bourceret_2018_00184	0.596035543403964	zea_mays_l	rhizosphere	DOK
bourceret_2018_00185	0.589864864864865	zea_mays_l	rhizosphere	DOK
bourceret_2018_00187	0.524738675958188	zea_mays_l	rhizosphere	DOK
bourceret_2018_00188	0.604635310156783	zea_mays_l	rhizosphere	DOK
bourceret_2018_00189	0.588394062078273	zea_mays_l	rhizosphere	DOK
bourceret_2018_00190	0.544037940379404	zea_mays_l	rhizosphere	DOK
bourceret_2018_00191	0.469836763662172	zea_mays_l	rhizosphere	DOK
bourceret_2018_00192	0.535416666666667	zea_mays_l	rhizosphere	DOK
bourceret_2018_00193	0.639154160982265	zea_mays_l	root	DOK
bourceret_2018_00194	0.699524133242692	zea_mays_l	root	DOK
bourceret_2018_00195	0.587183308494784	zea_mays_l	root	DOK
bourceret_2018_00196	0.618065433854908	zea_mays_l	root	DOK
bourceret_2018_00197	0.732566012186865	zea_mays_l	root	DOK
bourceret_2018_00198	0.740540540540541	zea_mays_l	root	DOK
bourceret_2018_00199	0.748644986449865	zea_mays_l	root	DOK
bourceret_2018_00200	0.684495599187542	zea_mays_l	root	DOK
bourceret_2018_00201	0.742527173913043	zea_mays_l	root	DOK
bourceret_2018_00202	0.721733243060257	zea_mays_l	root	DOK
bourceret_2018_00203	0.759459459459459	zea_mays_l	root	DOK
bourceret_2018_00204	0.716016150740242	zea_mays_l	root	DOK
bourceret_2018_00205	0.543596730245232	zea_mays_l	rhizosphere	DOK
bourceret_2018_00206	0.55420054200542	zea_mays_l	rhizosphere	DOK
bourceret_2018_00207	0.485388453314326	zea_mays_l	rhizosphere	DOK
bourceret_2018_00208	0.496188496188496	zea_mays_l	rhizosphere	DOK
bourceret_2018_00209	0.556457065584855	zea_mays_l	rhizosphere	DOK
bourceret_2018_00210	0.578199052132701	zea_mays_l	rhizosphere	DOK
bourceret_2018_00211	0.491132332878581	zea_mays_l	rhizosphere	DOK
bourceret_2018_00212	0.565484311050477	zea_mays_l	rhizosphere	DOK
bourceret_2018_00213	0.548320767649075	zea_mays_l	rhizosphere	DOK
bourceret_2018_00214	0.595558546433378	zea_mays_l	rhizosphere	DOK
bourceret_2018_00215	0.556693989071038	zea_mays_l	rhizosphere	DOK
bourceret_2018_00216	0.556910569105691	zea_mays_l	rhizosphere	DOK
bourceret_2018_00217	0.720757268424611	zea_mays_l	root	DOK
bourceret_2018_00218	0.716981132075472	zea_mays_l	root	DOK
bourceret_2018_00223	0.624466571834993	zea_mays_l	root	DOK
bourceret_2018_00224	0.684170471841705	zea_mays_l	root	DOK
